work_id,result_id,claim_type,verbatim_location,paraphrased_result,metric,value,dataset,split,evaluation_unit,scope,comparability_class,allowed_use,forbidden_use,primary_source_identifier
"toolprmbench","TPRM-R1","dataset_fact","Abstract; Section 3","ToolPRMBench contains 984 step-level preference cases drawn from four tool-use datasets.","count","984 cases; 4 datasets","GTA; ToolTalk; BFCL; ToolSandbox","benchmark evaluation","candidate next action","benchmark composition","CONTEXT_ONLY","bounded-scan taxonomy context","numeric head-to-head with THIS_WORK","arXiv:2601.12294v1"
"toolprmbench","TPRM-R2","benchmark_result","Table 2","ToolPRM-GRPO reports 78.6 average pairwise accuracy across the four ToolPRMBench datasets.","pairwise accuracy","78.6","ToolPRMBench","reported evaluation","step-level action pair","trained PRM evaluation","CONTEXT_ONLY","bounded-scan context only","numeric head-to-head with THIS_WORK","arXiv:2601.12294v1"
"webarbiter","WA-R1","benchmark_result","Section 4; Table 2","WebArbiter-7B reports 74.60 average Best-of-N accuracy versus 65.50 for GPT-5 on WebPRMBench.","Best-of-N accuracy","74.60 versus 65.50","WebPRMBench","reported evaluation","candidate web action","process reward evaluation","CONTEXT_ONLY","contextual comparison among PRMs/judges on its own benchmark","numeric head-to-head with THIS_WORK","arXiv:2601.21872v2"
"webarbiter","WA-R2","test_time_result","Abstract; Section 4","The paper reports up to 6.4 points of WebArena-Lite success improvement under reward-guided search.","task success improvement","up to 6.4 points","WebArena-Lite","reported search setting","task execution","test-time guided search","CONTEXT_ONLY","contextual test-time-use comparison","numeric head-to-head with THIS_WORK","arXiv:2601.21872v2"
"agentprocessbench","APB-R1","dataset_fact","Abstract; Section 3","AgentProcessBench contains 1000 trajectories and 8509 human-labeled steps; reported agreement is 89.1 percent with kappa 0.767.","count and agreement","1000; 8509; 89.1%; kappa 0.767","AgentProcessBench","full benchmark","step","benchmark composition and annotation","CONTEXT_ONLY","process-evaluation taxonomy context","numeric head-to-head with THIS_WORK","arXiv:2603.14465v2; DOI:10.1145/3770855.3817494"
"agentprocessbench","APB-R2","benchmark_scope","Section 3; Table 3","The benchmark evaluates step accuracy and first-error accuracy across 20 language models on four source datasets.","model and dataset count","20 models; 4 datasets","HotpotQA; GAIA; BFCL; tau2-Bench","reported benchmark","step and first error","judge evaluation","CONTEXT_ONLY","show close process-failure analogue","numeric head-to-head with THIS_WORK","arXiv:2603.14465v2; DOI:10.1145/3770855.3817494"
"cuarewardbench","CUA-R1","dataset_fact","ICML 2026 OpenReview abstract","CUARewardBench provides 272 trajectory success annotations and 346 key-step correctness annotations from OSWorld.","count","272 trajectory; 346 step","OSWorld","reported benchmark","trajectory and key step","benchmark composition","PARTIALLY_COMPARABLE","closest-work dataset and unit context","numeric head-to-head with THIS_WORK","OpenReview:Xj7V0wKlE5"
"cuarewardbench","CUA-R2","benchmark_result","ICML 2026 OpenReview abstract","The later official record reports 88.0 percent precision and 95.3 percent NPV for the outcome model and 83.1 percent precision and 86.2 percent NPV for the process model.","precision; NPV","ORM 88.0%/95.3%; PRM 83.1%/86.2%","CUARewardBench/OSWorld","reported benchmark","trajectory outcome and key step","reward-model evaluation","PARTIALLY_COMPARABLE","version-qualified contextual result only","numeric head-to-head with THIS_WORK; mixing with arXiv v1 values","OpenReview:Xj7V0wKlE5"
"similar_srm","SIM-R1","dataset_fact","Abstract; Section 3","SRMTrain and SRMEval contain about 110000 multidimensional step annotations across web, Android, Linux, and Windows agent environments.","annotation count","approximately 110000","SRMTrain/SRMEval","train/evaluation","step-dimension","dataset composition","CONTEXT_ONLY","multidimensional process taxonomy context","numeric head-to-head with THIS_WORK","PMLR:v267/miao25b; arXiv:2503.18665v2"
"similar_srm","SIM-R2","model_result","Section 4; official result tables","Similar-RL-Llama improves the reported average by 13.2 percent over its base model; Triple-M raises the reported average from 53.9 to 61.2.","average dimension score","13.2%; 53.9 to 61.2","SRMEval","evaluation","step-dimension","trained step reward model","CONTEXT_ONLY","contextual multidimensional process comparison","numeric head-to-head with THIS_WORK","PMLR:v267/miao25b"
