target,held_out_model,benchmark_group_primary,trajectory_count,task_group_count,negative_count,positive_count,coverage_present,class_status,coverage_status
side_effect,GenericAgent-anthropic_claude-3.7-sonnet,webarena,22,22,20,2,True,mixed_class,full_primary_benchmark_coverage
side_effect,GenericAgent-anthropic_claude-3.7-sonnet,workarena,15,15,15,0,True,single_class_negative,full_primary_benchmark_coverage
side_effect,GenericAgent-gpt-4o-2024-11-20,assistantbench,6,6,6,0,True,single_class_negative,full_primary_benchmark_coverage
side_effect,GenericAgent-gpt-4o-2024-11-20,visualwebarena,8,8,7,1,True,mixed_class,full_primary_benchmark_coverage
side_effect,GenericAgent-gpt-4o-2024-11-20,webarena,21,21,21,0,True,single_class_negative,full_primary_benchmark_coverage
side_effect,GenericAgent-gpt-4o-2024-11-20,workarena,15,15,14,1,True,mixed_class,full_primary_benchmark_coverage
side_effect,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,assistantbench,6,6,6,0,True,single_class_negative,partial_primary_benchmark_coverage
side_effect,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,visualwebarena,0,0,0,0,False,no_coverage,partial_primary_benchmark_coverage
side_effect,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,webarena,22,22,20,2,True,mixed_class,partial_primary_benchmark_coverage
side_effect,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,workarena,15,15,14,1,True,mixed_class,partial_primary_benchmark_coverage
side_effect,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,assistantbench,6,6,6,0,True,single_class_negative,full_primary_benchmark_coverage
side_effect,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,visualwebarena,8,8,7,1,True,mixed_class,full_primary_benchmark_coverage
side_effect,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,webarena,22,22,18,4,True,mixed_class,full_primary_benchmark_coverage
side_effect,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,workarena,15,15,15,0,True,single_class_negative,full_primary_benchmark_coverage
looping,GenericAgent-anthropic_claude-3.7-sonnet,assistantbench,6,6,6,0,True,single_class_negative,full_primary_benchmark_coverage
looping,GenericAgent-anthropic_claude-3.7-sonnet,visualwebarena,8,8,6,2,True,mixed_class,full_primary_benchmark_coverage
looping,GenericAgent-anthropic_claude-3.7-sonnet,webarena,22,22,17,5,True,mixed_class,full_primary_benchmark_coverage
looping,GenericAgent-anthropic_claude-3.7-sonnet,workarena,15,15,8,7,True,mixed_class,full_primary_benchmark_coverage
looping,GenericAgent-gpt-4o-2024-11-20,assistantbench,6,6,3,3,True,mixed_class,full_primary_benchmark_coverage
looping,GenericAgent-gpt-4o-2024-11-20,visualwebarena,8,8,6,2,True,mixed_class,full_primary_benchmark_coverage
looping,GenericAgent-gpt-4o-2024-11-20,webarena,22,22,15,7,True,mixed_class,full_primary_benchmark_coverage
looping,GenericAgent-gpt-4o-2024-11-20,workarena,15,15,6,9,True,mixed_class,full_primary_benchmark_coverage
looping,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,assistantbench,6,6,2,4,True,mixed_class,partial_primary_benchmark_coverage
looping,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,visualwebarena,0,0,0,0,False,no_coverage,partial_primary_benchmark_coverage
looping,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,webarena,22,22,10,12,True,mixed_class,partial_primary_benchmark_coverage
looping,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,workarena,15,15,4,11,True,mixed_class,partial_primary_benchmark_coverage
looping,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,assistantbench,6,6,2,4,True,mixed_class,full_primary_benchmark_coverage
looping,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,visualwebarena,8,8,5,3,True,mixed_class,full_primary_benchmark_coverage
looping,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,webarena,22,22,9,13,True,mixed_class,full_primary_benchmark_coverage
looping,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,workarena,15,15,5,10,True,mixed_class,full_primary_benchmark_coverage
