criterion_id,dimension,criterion_name,dimension_weight,internal_weight,evidence_status,evidence_confidence,judgment_type,primary_score_0_4,evidence_ids,supporting_reason,limitation,cap_triggered,cap_rule,risk_ids
SV4.1,SV4,"Metric-Target Alignment",20,0.15,VERIFIED,HIGH,EVIDENCE_DRIVEN,4,R0E006;R0E012;R0E017;R0E020,"PR-AUC/AP lift and positive F1 are frozen for imbalanced binary targets; prevalence and valid/invalid bootstrap support are reported.","Metrics assess predictive discrimination and thresholded classification; they do not establish calibration or deployment safety.",false,,R0R11
SV4.2,SV4,"Baseline & Comparator Fairness",20,0.15,PARTIALLY_VERIFIED,HIGH,MIXED,3,R0E008;R0E009;R0E013;R0E028;R0E032,"Majority/prior; structural; TF-IDF; ablations; and one frozen dense semantic comparator follow controlled information and split rules.","No protocol-equivalent cross-paper or LLM-judge head-to-head exists and dense semantic coverage is one encoder/pooling design.",false,,R0R01;R0R08
SV4.3,SV4,"Evaluation Unit & Aggregation Validity",20,0.15,VERIFIED,HIGH,EVIDENCE_DRIVEN,4,R0E003;R0E006;R0E012;R0E017,"Trajectory predictions are grouped by benchmark plus task; pooled and macro estimates remain distinct; and uncertainty resamples task groups within benchmark.","Benchmark-level pairwise inference was not preregistered and is correctly omitted.",false,,R0R07
SV4.4,SV4,"Uncertainty & Statistical Inference",20,0.2,VERIFIED,HIGH,EVIDENCE_DRIVEN,4,R0E012;R0E013;R0E017;R0E019,"Frozen cluster bootstraps report point estimates; intervals; valid fractions; invalid draws; and stable/uncertain grades for development and official test evidence.","Intervals are stability summaries rather than universal significance claims.",false,,
SV4.5,SV4,"Ablation / Sensitivity Validity",20,0.15,PARTIALLY_VERIFIED,HIGH,MIXED,3,R0E010;R0E011;R0E012;R0E013;R0E025,"S0 reproduces B2 exactly; structural removals use the frozen LOBO protocol; LOMO and dense comparisons preserve their exploratory/dev-only roles.","Several comparisons lack registered uncertainty; ablations are associational; and only one dense representation specification was tested.",false,,R0R08;R0R09;R0R12
SV4.6,SV4,"Threshold / Class-Imbalance Treatment",20,0.1,VERIFIED,HIGH,EVIDENCE_DRIVEN,4,R0E003;R0E006;R0E015;R0E017,"Thresholds are selected only on inner validation by positive F1; eligibility and class weighting are frozen; rare-class support and single-class NA behavior are explicit.","Side Effect thresholded performance remains weak and exploratory.",false,,R0R06
SV4.7,SV4,"Statistical Interpretation Discipline",20,0.1,VERIFIED,HIGH,EVIDENCE_DRIVEN,4,R0E012;R0E014;R0E019;R0E020;R0E041;R0E045,"Crossed intervals remain uncertain; benchmark differences are descriptive; ablations are non-causal; and dev-only relative comparisons are not promoted.","Manuscript compliance still requires retaining the frozen wording.",false,,
SV5.1,SV5,"Resampling / Fold Stability",15,0.2,VERIFIED,HIGH,EVIDENCE_DRIVEN,4,R0E008;R0E009;R0E012;R0E017;R0E021,"Five grouped folds; complete OOF predictions; LOBO results; 10000 task-group bootstrap draws; and official held-out intervals characterize stability.","Side Effect has invalid/sparse development resamples and remains exploratory.",false,,R0R06
SV5.2,SV5,"Benchmark / Domain Robustness",15,0.25,PARTIALLY_VERIFIED,HIGH,MIXED,3,R0E009;R0E012;R0E017;R0E019;R0E045,"Four-family dev LOBO and per-family official test summaries show signal beyond a single domain for Success and Looping.","Performance is heterogeneous; AssistantBench is weaker; and official confirmation is within existing families rather than unseen benchmarks.",false,,R0R02;R0R07
SV5.3,SV5,"Model / Agent Robustness",15,0.15,PARTIALLY_VERIFIED,HIGH,MIXED,2,R0E007;R0E010;R0E019;R0E045,"Exploratory leave-one-model-out evidence spans four source models and records class-complete cells.","Coverage is incomplete for one model and the design is model-only transfer on shared tasks; joint task/model OOD and arbitrary-agent robustness are absent.",false,,R0R09
SV5.4,SV5,"Representation / Specification Robustness",15,0.15,PARTIALLY_VERIFIED,HIGH,MIXED,3,R0E008;R0E011;R0E012;R0E013;R0E019,"Structural; TF-IDF; frozen dense semantic; and seven structural specifications expose stable and uncertain patterns.","Dense evidence uses a single encoder/pooling design and relative method gains are development-only and partly uncertain.",false,,R0R08
SV5.5,SV5,"Failure-Boundary Characterization",15,0.1,PARTIALLY_VERIFIED,HIGH,MIXED,3,R0E025;R0E026;R0E029;R0E045,"Deterministic FP/FN cases; metadata diagnostics; coefficient boundaries; productive repetition; and morphology-semantic failures are preserved.","Only twelve selected error cases are documented; they are illustrations and not prevalence estimates.",false,,R0R12
SV5.6,SV5,"External-Validity Discipline",15,0.15,VERIFIED,HIGH,EVIDENCE_DRIVEN,4,R0E019;R0E020;R0E029;R0E037;R0E041;R0E045,"Every final contract rejects unseen-benchmark; arbitrary-agent; joint-OOD; causal; deployment; and universal-judge upgrades.","The disciplined limitation does not supply missing external validation.",false,,R0R02
SV6.1,SV6,"Claim-Evidence Traceability",15,0.25,VERIFIED,HIGH,EVIDENCE_DRIVEN,4,R0E019;R0E020;R0E021;R0E040;R0E041,"Final claims and limitations map through stable evidence IDs to source artifacts; stages; hashes; sections; tables; figures; and caveats.","The claim package intentionally includes forbidden and unsupported claims rather than omitting them.",false,,
SV6.2,SV6,"Artifact & Git Provenance",15,0.2,VERIFIED,HIGH,EVIDENCE_DRIVEN,4,R0E017;R0E018;R0E019;R0E030;R0E031;R0E038;R0E039,"Independent commits; result ancestors; source revisions; prediction hashes; artifact registries; and fix histories are persisted and reachable.","Several reports use recorded_by_enclosing_result_commit but the enclosing commits are recoverable from Git history and consolidation maps.",false,,
SV6.3,SV6,"Computational Reproducibility",15,0.2,VERIFIED,HIGH,EVIDENCE_DRIVEN,4,R0E005;R0E006;R0E012;R0E015;R0E017;R0E019;R0E039;R0E048,"Frozen inputs; code; environments; seeds; configs; manifests; models; predictions; draws; commands; and dependency-light verifiers support rerun and audit.","External source availability and hardware-specific timing can drift outside the repository.",false,,R0R15
SV6.4,SV6,"Numeric Consistency",15,0.15,VERIFIED,HIGH,EVIDENCE_DRIVEN,4,R0E017;R0E018;R0E019;R0E030;R0E031;R0E042,"Machine summaries; source tables; paper tables; figures; and 150 display values are checked for exact value; rounding; source; and hash consistency.","No new metric recomputation was used in this audit.",false,,
SV6.5,SV6,"Negative Evidence & Limitation Preservation",15,0.1,VERIFIED,HIGH,EVIDENCE_DRIVEN,4,R0E014;R0E019;R0E020;R0E029;R0E041;R0E045,"Uncertain intervals; stable drops; unsupported claims; prohibited overclaims; low-support Side Effect; confounding; failures; and fourteen limitations remain explicit.","Publication competitiveness remains constrained by these preserved negatives.",false,,
SV6.6,SV6,"Independent Auditability",15,0.1,VERIFIED,HIGH,EVIDENCE_DRIVEN,4,R0E018;R0E019;R0E031;R0E038;R0E039;R0E040;R0E043,"Repository-only registries; hashes; verifiers; taskbooks; reports; and readiness checks let an independent reviewer reconstruct the evidence chain.","The full manuscript prose and target-journal dossier are intentionally absent at this stage.",false,,R0R13;R0R14
PC1.1,PC1,"Problem Novelty",25,0.2,PARTIALLY_VERIFIED,HIGH,MIXED,3,R0E032;R0E034;R0E035;R0E037;R0E044,"The verified gap is a systematic study of lightweight fixed-dimensional structural signals for outcome-oriented web-agent trajectory evaluation under a frozen blind-held-out protocol.","AgentRewardBench shares data/targets and WebGraphEval directly studies structural trajectory evaluation; novelty must remain narrow.",false,,R0R01
PC1.2,PC1,"Method / Representation Differentiation",25,0.2,PARTIALLY_VERIFIED,HIGH,EXPERT_JUDGMENT,2,R0E013;R0E028;R0E034;R0E035;R0E037,"Per-trajectory fixed-dimensional morphology; lightweight training; blind freeze; efficiency; and information-access boundaries differ from audited reward and graph systems.","The core estimator is standard Logistic Regression over thirteen handcrafted features; method novelty alone is limited.",false,,R0R01
PC1.3,PC1,"Evaluation / Protocol Differentiation",25,0.2,PARTIALLY_VERIFIED,HIGH,MIXED,3,R0E006;R0E015;R0E016;R0E017;R0E032;R0E035,"Task-grouped development; preregistered final freeze; blind prediction commit; one-time label unlock; and cluster uncertainty provide a distinctive evidence protocol.","It is rigorous protocol differentiation within one existing benchmark rather than an external validation design.",false,,R0R02
PC1.4,PC1,"Empirical Insight Novelty",25,0.25,PARTIALLY_VERIFIED,HIGH,MIXED,3,R0E012;R0E013;R0E017;R0E025;R0E027,"Lightweight structural signals confirm on held-out Success and Looping while dense complexity lacks uniform dev gains; metadata and morphology-semantic boundaries qualify the story.","A skeptical reviewer may view Looping/repetition and cheap morphology signal as unsurprising or shortcut-driven.",false,,R0R01;R0R03;R0R05
PC1.5,PC1,"Closest-Work Separation",25,0.15,PARTIALLY_VERIFIED,HIGH,MIXED,3,R0E032;R0E033;R0E034;R0E035;R0E037;R0E047,"Primary-source audits compare target; unit; representation; information access; training role; metric; data; and protocol and find zero directly comparable works.","The audit is bounded rather than exhaustive and three works remain partially comparable; no numeric head-to-head exists.",false,,R0R01
PC2.1,PC2,"Importance of the Research Problem",20,0.2,PARTIALLY_VERIFIED,HIGH,EXPERT_JUDGMENT,3,R0E001;R0E032;R0E034;R0E044,"Reliable and inexpensive trajectory evaluation is relevant to agent assessment; benchmark design; and scalable diagnostics.","The study is bounded to one web-agent evidence package and does not demonstrate deployment impact.",false,,R0R11
PC2.2,PC2,"Importance of the Main Finding",20,0.25,PARTIALLY_VERIFIED,HIGH,MIXED,2,R0E017;R0E020;R0E027;R0E044,"Confirmatory held-out Success/Looping signal and measured cost differences establish that cheap structure can be useful under a strict frozen protocol.","The finding does not show comparative superiority over LLM judges; unseen-benchmark validity; or calibrated deployment utility.",false,,R0R02;R0R11
PC2.3,PC2,"General Scientific Usefulness",20,0.2,PARTIALLY_VERIFIED,MEDIUM,EXPERT_JUDGMENT,3,R0E025;R0E027;R0E029;R0E044;R0E046,"The package informs evaluator feature design; protocol construction; cost tradeoffs; confounder audits; and failure analysis.","General usefulness beyond AgentRewardBench families is reasoned rather than externally validated.",false,,R0R02
PC2.4,PC2,"Insight / Surprise Value",20,0.2,PARTIALLY_VERIFIED,MEDIUM,EXPERT_JUDGMENT,2,R0E012;R0E013;R0E025;R0E027,"The absence of uniform dense gains; strong lightweight Looping signal; and explicit productive-repetition failures add nuance beyond a simple metric story.","Structural cues predicting Looping and standard LR retaining signal may be seen as expected; several relative contrasts are uncertain.",false,,R0R01;R0R03;R0R08
PC2.5,PC2,"Field Relevance & Timeliness",20,0.15,PARTIALLY_VERIFIED,HIGH,MIXED,4,R0E032;R0E033;R0E034;R0E035;R0E047,"The frozen 2024-2026 primary-source registry documents active work on trajectory judges; reward models; process evaluation; and structural/semantic diagnostics.","Freshness is bounded to the preregistered search cutoff and is not an exhaustive survey.",false,,
PC3.1,PC3,"Core-result Evidence Depth",15,0.25,VERIFIED,HIGH,EVIDENCE_DRIVEN,4,R0E008;R0E009;R0E012;R0E015;R0E016;R0E017;R0E019,"Evidence progresses from grouped OOF and LOBO through uncertainty; final method freeze; blind inference; held-out confirmation; and evidence consolidation.","Only Success and Looping are confirmatory; Side Effect remains exploratory.",false,,R0R06
PC3.2,PC3,"Baseline / Comparator Completeness",15,0.15,PARTIALLY_VERIFIED,HIGH,MIXED,3,R0E008;R0E009;R0E013;R0E027;R0E028;R0E032,"Local baselines span prevalence; structural; TF-IDF; ablations; and frozen dense semantic representations under common protocols.","There is one dense encoder and no valid direct cross-paper or LLM-judge numerical comparison.",false,,R0R08
PC3.3,PC3,"Robustness Evidence",15,0.2,PARTIALLY_VERIFIED,HIGH,MIXED,3,R0E009;R0E010;R0E011;R0E012;R0E013;R0E017,"Grouped folds; benchmark holdouts; model-only holdouts; feature ablations; representation comparisons; cluster intervals; and per-benchmark test rows are preserved.","No independent external benchmark or joint task/model OOD evaluation exists and model coverage is incomplete.",false,,R0R02;R0R09
PC3.4,PC3,"Mechanism / Interpretation Evidence",15,0.15,PARTIALLY_VERIFIED,HIGH,MIXED,2,R0E011;R0E012;R0E025;R0E026;R0E045,"Feature-group removals; standardized coefficients; metadata diagnostics; and deterministic errors characterize associations and boundaries.","Correlated features; unregistered uncertainty for several contrasts; and descriptive error selection preclude causal or isolated mechanism claims.",false,,R0R12
PC3.5,PC3,"Efficiency / Practical Characterization",15,0.1,VERIFIED,HIGH,EVIDENCE_DRIVEN,4,R0E023;R0E024;R0E027;R0E030,"Cold start; extraction; inference; storage; model size; memory; repetitions; and relative costs are measured with frozen implementations.","Measurements use one recorded environment and heterogeneous device/resource domains.",false,,R0R15
PC3.6,PC3,"Failure / Negative Evidence Coverage",15,0.15,VERIFIED,HIGH,EVIDENCE_DRIVEN,4,R0E014;R0E019;R0E020;R0E025;R0E026;R0E029;R0E045,"Weak Side Effect; uncertain comparisons; dense F1 drop; heterogeneity; confounding; label limits; error cases; and deployment gaps are explicitly retained.","Coverage is transparent but many weaknesses remain unresolved rather than experimentally removed.",false,,
PC4.1,PC4,"Central Narrative Clarity",15,0.25,PARTIALLY_VERIFIED,HIGH,MIXED,3,R0E027;R0E037;R0E038;R0E041;R0E044,"A stable thesis links lightweight structural signals; blind held-out evidence; efficiency; and diagnostic limits.","The final thesis is narrower than the original dimension-aware benchmark-shift H1 and must avoid implying unseen-benchmark evidence.",false,,R0R02;R0R04
PC4.2,PC4,"Contribution Independence",15,0.2,PARTIALLY_VERIFIED,MEDIUM,EXPERT_JUDGMENT,3,R0E027;R0E044,"Four contributions separate the structural evidence study; blind protocol; efficiency characterization; and post-freeze diagnostics.","C1 and C2 overlap and C3/C4 are supporting characterizations rather than equally independent methodological contributions.",false,,R0R01
PC4.3,PC4,"Evidence-to-Contribution Alignment",15,0.2,VERIFIED,HIGH,EVIDENCE_DRIVEN,4,R0E040;R0E041;R0E043;R0E044,"Every frozen contribution maps to persistent evidence; literature positioning; scope; and forbidden upgrades.","High credit assumes the manuscript uses only the frozen versions.",false,,
PC4.4,PC4,"Section-level Coherence",15,0.15,PARTIALLY_VERIFIED,HIGH,MIXED,3,R0E038;R0E040;R0E041;R0E043;R0E046;R0E047,"Abstract; Introduction; Methods; Results; Discussion; Related Work; figures; tables; and appendix slots are mapped to one evidence chain.","Only a skeleton and contracts exist; journal-specific structure and full prose have not been tested.",false,,R0R13;R0R14
PC4.5,PC4,"Claim Compression / Message Efficiency",15,0.2,PARTIALLY_VERIFIED,MEDIUM,EXPERT_JUDGMENT,3,R0E027;R0E038;R0E041;R0E044,"The package compresses the story into four contributions and bounded Success; Looping; efficiency; and diagnostic takeaways.","Numerous mandatory caveats and the exploratory Side Effect branch can dilute the central message.",false,,R0R04;R0R06
PC5.1,PC5,"Obvious Objection Coverage",15,0.25,VERIFIED,HIGH,EVIDENCE_DRIVEN,4,R0E014;R0E019;R0E025;R0E029;R0E035;R0E045;R0E046,"The repository explicitly addresses novelty; simplicity; shortcuts; metadata; construct overlap; Side Effect; external validity; dense comparison; statistics; and practical limits.","Several objections are bounded rather than resolved.",false,,
PC5.2,PC5,"Novelty Attack Resistance",15,0.2,PARTIALLY_VERIFIED,HIGH,MIXED,2,R0E032;R0E034;R0E035;R0E037;R0E044,"Closest-work differences are primary-source verified across target; unit; access; data; and protocol.","The contribution is narrow; WebGraphEval is structurally close; AgentRewardBench shares data and labels; and no firstness or head-to-head claim is available.",false,,R0R01
PC5.3,PC5,"Method-Simplicity Defense",15,0.15,PARTIALLY_VERIFIED,HIGH,MIXED,3,R0E013;R0E017;R0E023;R0E027;R0E044,"Simplicity is tied to the research question; confirmatory held-out signal; efficiency measurements; and interpretable diagnostics rather than presented as algorithmic novelty.","A reviewer can still regard LR plus handcrafted features as technically modest.",false,,R0R01
PC5.4,PC5,"External-Validity Defense",15,0.15,PARTIALLY_VERIFIED,HIGH,MIXED,3,R0E009;R0E010;R0E017;R0E029;R0E037;R0E045,"Dev LOBO; model-only transfer; per-family test metrics; and strict claim boundaries provide an honest defense.","No independent external benchmark or joint task/model OOD evidence exists; limitation language cannot replace that evidence.",false,,R0R02;R0R09
PC5.5,PC5,"Weak-result / Limitation Defense",15,0.15,PARTIALLY_VERIFIED,HIGH,MIXED,3,R0E013;R0E019;R0E020;R0E025;R0E029;R0E041;R0E045,"Side Effect remains exploratory; negative and uncertain comparisons remain visible; and fourteen limitations are mandatory.","Transparency defends integrity but does not turn the weak Side Effect or unresolved confounding into strong contributions.",false,,R0R05;R0R06
PC5.6,PC5,"Evidence Transparency",15,0.1,VERIFIED,HIGH,EVIDENCE_DRIVEN,4,R0E019;R0E020;R0E021;R0E030;R0E031;R0E038;R0E040;R0E041;R0E042;R0E043,"Claims; metrics; limitations; artifacts; citations; values; failures; hashes; and forbidden interpretations are directly auditable.","No material negative evidence was found to be silently omitted.",false,,
PC6.1,PC6,Scope Fit,10,0.3,NOT_APPLICABLE,HIGH,EXPERT_JUDGMENT,,,,"No preregistration-era target-journal dossier exists; journal scope fit is not scored.",false,,R0R13
PC6.2,PC6,"Contribution-Level Fit",10,0.2,NOT_APPLICABLE,HIGH,EXPERT_JUDGMENT,,,,"No frozen target journal exists; contribution-level fit is not scored.",false,,R0R13
PC6.3,PC6,"Article Depth / Workload Fit",10,0.15,NOT_APPLICABLE,HIGH,EXPERT_JUDGMENT,,,,"No frozen target journal exists; article-depth fit is not scored.",false,,R0R13
PC6.4,PC6,"Audience Fit",10,0.15,NOT_APPLICABLE,HIGH,EXPERT_JUDGMENT,,,,"No frozen target journal exists; audience fit is not scored.",false,,R0R13
PC6.5,PC6,"Manuscript Asset Readiness",10,0.1,NOT_APPLICABLE,HIGH,EXPERT_JUDGMENT,,,,"Manuscript assets exist but PC6 is inseparable from a specific frozen journal dossier and remains unscored.",false,,R0R13;R0R14
PC6.6,PC6,"Editorial / Formatting Readiness",10,0.1,NOT_APPLICABLE,HIGH,EXPERT_JUDGMENT,,,,"Journal-specific formatting; title; word limits; and section naming are not frozen; PC6 remains unscored.",false,,R0R13;R0R14
