claim_id,claim_text,status,target,scope,supporting_evidence_ids,contradicting_or_limiting_evidence,allowed_paper_section,required_qualifier,prohibited_extension
FD8,A universal model-complexity hierarchy is established.,DEV_ONLY,All,A1.2-A1.7 frozen dev evidence,E_A17_Q2_SUCCESS_MACRO_AP_DELTA;E_A17_Q3_SUCCESS_MACRO_AP_DELTA;E_A17_Q5_LOOPING_MACRO_AP_DELTA,No uniform improvement with representation complexity.,Discussion,no clear uniform hierarchy; dev-only,simple or complex models universally superior
FD9,A fixed cross-dimension representation hierarchy is established.,DEV_ONLY,All,A1.2-A1.7 frozen dev evidence,E_A16_P1_SUCCESS_MACRO_AP_LIFT;E_A16_P5_LOOPING_MACRO_AP_LIFT;E_A17_Q4_SIDE_EFFECT_MACRO_AP,Side Effect support is sparse and comparative increments are uncertain.,Discussion,different empirical relationships; no fixed hierarchy,universal information hierarchy or causal theory
DH1,Success performance varies across the four evaluated benchmark families.,DESCRIPTIVE_ONLY,Success,A1.10 per-benchmark frozen results,E_A110_SUCCESS_ASSISTANTBENCH_DESCRIPTIVE;E_A110_SUCCESS_VISUALWEBARENA_DESCRIPTIVE;E_A110_SUCCESS_WEBARENA_DESCRIPTIVE;E_A110_SUCCESS_WORKARENA_DESCRIPTIVE,No preregistered pairwise inferential comparison.,Results; Limitations,descriptive heterogeneity only,Benchmark A significantly outperforms Benchmark B
DH2,Looping performance varies across the four evaluated benchmark families.,DESCRIPTIVE_ONLY,Looping,A1.10 per-benchmark frozen results,E_A110_LOOPING_ASSISTANTBENCH_DESCRIPTIVE;E_A110_LOOPING_VISUALWEBARENA_DESCRIPTIVE;E_A110_LOOPING_WEBARENA_DESCRIPTIVE;E_A110_LOOPING_WORKARENA_DESCRIPTIVE,No preregistered pairwise inferential comparison.,Results; Limitations,descriptive heterogeneity only,Benchmark A significantly outperforms Benchmark B
DH3,Side Effect performance varies across the four evaluated benchmark families.,DESCRIPTIVE_ONLY,Side Effect,A1.10 per-benchmark frozen results,E_A110_SIDE_EFFECT_ASSISTANTBENCH_DESCRIPTIVE;E_A110_SIDE_EFFECT_VISUALWEBARENA_DESCRIPTIVE;E_A110_SIDE_EFFECT_WEBARENA_DESCRIPTIVE;E_A110_SIDE_EFFECT_WORKARENA_DESCRIPTIVE,No preregistered pairwise inferential comparison.,Results; Limitations,descriptive heterogeneity only,Benchmark A significantly outperforms Benchmark B
NS1,The frozen scores are calibrated probabilities suitable for operational decisions.,NOT_SUPPORTED,All,current evidence package,,No calibration experiment or decision-utility study was authorized.,Limitations,predictive ranking/classification evidence only,calibrated risk or deployment safety
NS2,A1.10 establishes pairwise statistical differences between benchmark families.,NOT_SUPPORTED,All,A1.10 per-benchmark table,E_A110_SUCCESS_ASSISTANTBENCH_DESCRIPTIVE;E_A110_SUCCESS_WORKARENA_DESCRIPTIVE,No frozen pairwise inferential test exists.,Limitations,descriptive variation only,significantly better or worse benchmark claims
PO1,Our method generalizes to unseen benchmarks.,PROHIBITED_OVERCLAIM,All,outside supported evidence boundary,E_A110_SUCCESS_HELDOUT;E_A110_LOOPING_HELDOUT,No truly independent unseen benchmark was evaluated.,Limitations or reviewer-response rejection only,must not be asserted as a supported finding,Our method generalizes to unseen benchmarks.
PO2,Our method generalizes to arbitrary agents.,PROHIBITED_OVERCLAIM,All,outside supported evidence boundary,E_A14_SUCCESS_B3_MODEL_MACRO_AP;E_A14_LOOPING_B2_MODEL_MACRO_AP,Agent coverage is finite and A1.4 is model-only same-task transfer.,Limitations or reviewer-response rejection only,must not be asserted as a supported finding,Our method generalizes to arbitrary agents.
PO3,Our method establishes joint task-and-model OOD robustness.,PROHIBITED_OVERCLAIM,All,outside supported evidence boundary,E_A14_SUCCESS_B3_MODEL_MACRO_AP;E_A110_SUCCESS_HELDOUT,No joint unseen-task plus unseen-model protocol was run.,Limitations or reviewer-response rejection only,must not be asserted as a supported finding,Our method establishes joint task-and-model OOD robustness.
PO4,Structural features causally determine Success or Looping.,PROHIBITED_OVERCLAIM,All,outside supported evidence boundary,E_A16_P3_SUCCESS_MACRO_AP;E_A16_P6_LOOPING_MACRO_AP,Predictive features and ablations do not identify causal mechanisms.,Limitations or reviewer-response rejection only,must not be asserted as a supported finding,Structural features causally determine Success or Looping.
PO5,The system is a universal Agent Judge.,PROHIBITED_OVERCLAIM,All,outside supported evidence boundary,E_A110_SUCCESS_HELDOUT;E_A110_LOOPING_HELDOUT;E_A110_SIDE_EFFECT_HELDOUT,Evidence is limited to three targets and evaluated benchmark families.,Limitations or reviewer-response rejection only,must not be asserted as a supported finding,The system is a universal Agent Judge.
PO6,Side Effect is a confirmed held-out detector.,PROHIBITED_OVERCLAIM,All,outside supported evidence boundary,E_A110_SIDE_EFFECT_HELDOUT;E_A17_Q4_SIDE_EFFECT_MACRO_AP,Side Effect was preregistered and evaluated as exploratory-only with low dev support.,Limitations or reviewer-response rejection only,must not be asserted as a supported finding,Side Effect is a confirmed held-out detector.
PO7,Simple models universally outperform complex models.,PROHIBITED_OVERCLAIM,All,outside supported evidence boundary,E_A17_Q2_SUCCESS_MACRO_AP_DELTA;E_A17_Q3_SUCCESS_MACRO_AP_DELTA;E_A17_Q5_LOOPING_MACRO_AP_DELTA,Only a bounded model/representation set was compared and several differences are uncertain.,Limitations or reviewer-response rejection only,must not be asserted as a supported finding,Simple models universally outperform complex models.
PO8,Dense semantics are generally unnecessary.,PROHIBITED_OVERCLAIM,All,outside supported evidence boundary,E_A17_Q1_SUCCESS_MACRO_AP_LIFT;E_A17_Q4_SIDE_EFFECT_MACRO_AP;E_A17_Q5_LOOPING_MACRO_AP_DELTA,Dense semantics showed target-dependent signal and was not exhaustively tested.,Limitations or reviewer-response rejection only,must not be asserted as a supported finding,Dense semantics are generally unnecessary.
