evidence_id,claim_or_result,target,source_stage,source_artifact,evidence_status,recommended_location,recommended_table_or_figure,allowed_wording,forbidden_wording,reason
DH3,Side Effect performance varies across the four evaluated benchmark families.,Side Effect,A1.11,artifacts/a1_11_final_claim_matrix.csv,DESCRIPTIVE_ONLY,APPENDIX,Table 4;Figure 5,descriptive heterogeneity only,Benchmark A significantly outperforms Benchmark B,Frozen supported claim with its required qualifier.
NS1,The frozen scores are calibrated probabilities suitable for operational decisions.,All,A1.11,artifacts/a1_11_final_claim_matrix.csv,NOT_SUPPORTED,DO_NOT_USE,none,predictive ranking/classification evidence only,calibrated risk or deployment safety,"Frozen unsupported, dev-only overextension, or prohibited claim; retain only as a boundary."
NS2,A1.10 establishes pairwise statistical differences between benchmark families.,All,A1.11,artifacts/a1_11_final_claim_matrix.csv,NOT_SUPPORTED,DO_NOT_USE,none,descriptive variation only,significantly better or worse benchmark claims,"Frozen unsupported, dev-only overextension, or prohibited claim; retain only as a boundary."
PO1,Our method generalizes to unseen benchmarks.,All,A1.11,artifacts/a1_11_final_claim_matrix.csv,PROHIBITED_OVERCLAIM,DO_NOT_USE,none,must not be asserted as a supported finding,Our method generalizes to unseen benchmarks.,"Frozen unsupported, dev-only overextension, or prohibited claim; retain only as a boundary."
PO2,Our method generalizes to arbitrary agents.,All,A1.11,artifacts/a1_11_final_claim_matrix.csv,PROHIBITED_OVERCLAIM,DO_NOT_USE,none,must not be asserted as a supported finding,Our method generalizes to arbitrary agents.,"Frozen unsupported, dev-only overextension, or prohibited claim; retain only as a boundary."
PO3,Our method establishes joint task-and-model OOD robustness.,All,A1.11,artifacts/a1_11_final_claim_matrix.csv,PROHIBITED_OVERCLAIM,DO_NOT_USE,none,must not be asserted as a supported finding,Our method establishes joint task-and-model OOD robustness.,"Frozen unsupported, dev-only overextension, or prohibited claim; retain only as a boundary."
PO4,Structural features causally determine Success or Looping.,All,A1.11,artifacts/a1_11_final_claim_matrix.csv,PROHIBITED_OVERCLAIM,DO_NOT_USE,none,must not be asserted as a supported finding,Structural features causally determine Success or Looping.,"Frozen unsupported, dev-only overextension, or prohibited claim; retain only as a boundary."
PO5,The system is a universal Agent Judge.,All,A1.11,artifacts/a1_11_final_claim_matrix.csv,PROHIBITED_OVERCLAIM,DO_NOT_USE,none,must not be asserted as a supported finding,The system is a universal Agent Judge.,"Frozen unsupported, dev-only overextension, or prohibited claim; retain only as a boundary."
PO6,Side Effect is a confirmed held-out detector.,All,A1.11,artifacts/a1_11_final_claim_matrix.csv,PROHIBITED_OVERCLAIM,DO_NOT_USE,none,must not be asserted as a supported finding,Side Effect is a confirmed held-out detector.,"Frozen unsupported, dev-only overextension, or prohibited claim; retain only as a boundary."
PO7,Simple models universally outperform complex models.,All,A1.11,artifacts/a1_11_final_claim_matrix.csv,PROHIBITED_OVERCLAIM,DO_NOT_USE,none,must not be asserted as a supported finding,Simple models universally outperform complex models.,"Frozen unsupported, dev-only overextension, or prohibited claim; retain only as a boundary."
PO8,Dense semantics are generally unnecessary.,All,A1.11,artifacts/a1_11_final_claim_matrix.csv,PROHIBITED_OVERCLAIM,DO_NOT_USE,none,must not be asserted as a supported finding,Dense semantics are generally unnecessary.,"Frozen unsupported, dev-only overextension, or prohibited claim; retain only as a boundary."
E_A21_EFFICIENCY,B2 has substantially lower representation and extraction cost than B4 under the recorded A2.1 environment.,All,A2.1,artifacts/a2_1_efficiency_summary.csv;artifacts/a2_1_efficiency_relative_cost.csv,EFFICIENCY_BENCHMARK,MAIN_TEXT,Table 2;Figure 3,under the recorded environment; cost comparison only,universal hardware superiority or cross-target accuracy-efficiency ranking,Directly answers the measured efficiency component without recomputing performance.
E_A22_COEF_SUCCESS,Frozen standardized Success coefficients provide associational structural interpretation.,Success,A2.2,artifacts/a2_2_structural_coefficients.csv,POST_FREEZE_DIAGNOSTIC,MAIN_TEXT,Table 5;Figure 4,association within the frozen standardized LR,causal importance or mechanism,Success is the primary paper-facing diagnostic target.
E_A22_COEF_LOOPING,Frozen standardized Looping coefficients provide associational structural interpretation.,Looping,A2.2,artifacts/a2_2_structural_coefficients.csv,POST_FREEZE_DIAGNOSTIC,APPENDIX,Table 5;Figure 4 appendix panel,association within the frozen standardized LR,causal importance or mechanism,Looping is strong supporting evidence but coefficient interpretation remains secondary.
E_A22_METADATA_SUCCESS,Benchmark/model metadata contains non-trivial Success signal; frozen B2 dev AP is descriptively higher.,Success,A2.2,artifacts/a2_2_metadata_baseline_summary.csv,POST_FREEZE_DIAGNOSTIC,MAIN_TEXT,Table 5,metadata contains non-trivial signal; B2 is descriptively higher on frozen dev,metadata confounding ruled out or B2 significantly beats metadata-only,Directly documents a confounding risk without a new significance claim.
E_A22_METADATA_LOOPING,Benchmark/model metadata contains non-trivial Looping signal; frozen B2 dev AP is descriptively higher.,Looping,A2.2,artifacts/a2_2_metadata_baseline_summary.csv,POST_FREEZE_DIAGNOSTIC,APPENDIX,Table 5,metadata contains non-trivial signal; B2 is descriptively higher on frozen dev,metadata confounding ruled out or B2 significantly beats metadata-only,Supporting confounder evidence retains its diagnostic status.
E_A22_ERROR_SUCCESS,Deterministic Success errors illustrate morphology-versus-semantic completion boundaries.,Success,A2.2,artifacts/a2_2_error_case_notes.csv,POST_FREEZE_DESCRIPTIVE,MAIN_TEXT,Table 5;Figure 5,illustrates selected failure modes,prevalence estimate or exhaustive taxonomy,Primary qualitative evidence for the representation boundary.
E_A22_ERROR_LOOPING,"Deterministic Looping errors illustrate literal repetition, progress, and semantic-cycle boundaries.",Looping,A2.2,artifacts/a2_2_error_case_notes.csv,POST_FREEZE_DESCRIPTIVE,APPENDIX,Table 5;Figure 5 appendix alternative,illustrates selected failure modes,prevalence estimate or exhaustive taxonomy,Supporting diagnostic evidence; one case remains UNCLEAR.
E_TIER4_CONTEXT,Published evaluator entries are retained as literature context without locally verified numbers.,All,Research charter reference entry,research/00_RESEARCH_CHARTER.md,NEEDS_LITERATURE_VERIFICATION,DISCUSSION_ONLY,Related Work only,literature context pending human verification,head-to-head superiority or invented numbers,Local records contain citation entry points but not verified comparable performance values.
LIM_A23_01,External validity is limited to evaluated benchmark families.,All,A1.11+A2.1+A2.2+A2.3,docs/a1_11_limitations_ledger.md;docs/a2_3_final_limitations_ledger.md,LIMITATION,LIMITATION_ONLY,Limitations,External validity is limited to evaluated benchmark families.,removal or weakening of the frozen limitation,Required limitation retained in the final ledger.
LIM_A23_02,Side Effect remains low-support and exploratory.,All,A1.11+A2.1+A2.2+A2.3,docs/a1_11_limitations_ledger.md;docs/a2_3_final_limitations_ledger.md,LIMITATION,LIMITATION_ONLY,Limitations,Side Effect remains low-support and exploratory.,removal or weakening of the frozen limitation,Required limitation retained in the final ledger.
LIM_A23_03,Benchmark-level variation is descriptive heterogeneity only.,All,A1.11+A2.1+A2.2+A2.3,docs/a1_11_limitations_ledger.md;docs/a2_3_final_limitations_ledger.md,LIMITATION,LIMITATION_ONLY,Limitations,Benchmark-level variation is descriptive heterogeneity only.,removal or weakening of the frozen limitation,Required limitation retained in the final ledger.
LIM_A23_04,Relative method comparisons are development-only.,All,A1.11+A2.1+A2.2+A2.3,docs/a1_11_limitations_ledger.md;docs/a2_3_final_limitations_ledger.md,LIMITATION,LIMITATION_ONLY,Limitations,Relative method comparisons are development-only.,removal or weakening of the frozen limitation,Required limitation retained in the final ledger.
LIM_A23_05,Ablations and coefficients do not identify causal mechanisms.,All,A1.11+A2.1+A2.2+A2.3,docs/a1_11_limitations_ledger.md;docs/a2_3_final_limitations_ledger.md,LIMITATION,LIMITATION_ONLY,Limitations,Ablations and coefficients do not identify causal mechanisms.,removal or weakening of the frozen limitation,Required limitation retained in the final ledger.
LIM_A23_06,Correlated structural features limit coefficient isolation.,All,A1.11+A2.1+A2.2+A2.3,docs/a1_11_limitations_ledger.md;docs/a2_3_final_limitations_ledger.md,LIMITATION,LIMITATION_ONLY,Limitations,Correlated structural features limit coefficient isolation.,removal or weakening of the frozen limitation,Required limitation retained in the final ledger.
LIM_A23_07,Metadata confounding is not fully ruled out.,All,A1.11+A2.1+A2.2+A2.3,docs/a1_11_limitations_ledger.md;docs/a2_3_final_limitations_ledger.md,LIMITATION,LIMITATION_ONLY,Limitations,Metadata confounding is not fully ruled out.,removal or weakening of the frozen limitation,Required limitation retained in the final ledger.
LIM_A23_08,Efficiency timing is specific to the recorded environment.,All,A1.11+A2.1+A2.2+A2.3,docs/a1_11_limitations_ledger.md;docs/a2_3_final_limitations_ledger.md,LIMITATION,LIMITATION_ONLY,Limitations,Efficiency timing is specific to the recorded environment.,removal or weakening of the frozen limitation,Required limitation retained in the final ledger.
LIM_A23_09,Structural morphology is not semantic task understanding.,All,A1.11+A2.1+A2.2+A2.3,docs/a1_11_limitations_ledger.md;docs/a2_3_final_limitations_ledger.md,LIMITATION,LIMITATION_ONLY,Limitations,Structural morphology is not semantic task understanding.,removal or weakening of the frozen limitation,Required limitation retained in the final ledger.
LIM_A23_10,Calibration and deployment evidence are absent.,All,A1.11+A2.1+A2.2+A2.3,docs/a1_11_limitations_ledger.md;docs/a2_3_final_limitations_ledger.md,LIMITATION,LIMITATION_ONLY,Limitations,Calibration and deployment evidence are absent.,removal or weakening of the frozen limitation,Required limitation retained in the final ledger.
