evidence_id,source_stage,source_artifact,source_row_or_claim_id,target,evidence_type,evidence_status,exact_value,display_value,allowed_sections,primary_or_secondary,allowed_wording,forbidden_wording,table_id,figure_id,citation_keys,limitations_required,verified
E_PROV_A15,A1.5,artifacts/a1_5_run_summary.json,stage_determination,all,INTEGRITY,INTEGRITY_ONLY,PASS_WITH_CONDITIONS,,Methods;Appendix,secondary,"provenance; determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A1_5_RUN_STRUCTURAL_MECHANISM_ABLATIONS.md; report=docs/stage_a1_5_structural_mechanism_ablation_report.md; preregistration_commit=fa9ef0771ea44a720ed8b900199a75ef3c863379; result_commit=e4fd9aba83cc6ed3b01b1f624c666b6cc7fce3ca; fix_commits=none; conclusion=Frozen structural dependency patterns recorded descriptively.; warnings=Ablations are predictive dependencies, not causal mechanisms.",scientific claim upgrade,,,,"determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A1_5_RUN_STRUCTURAL_MECHANISM_ABLATIONS.md; report=docs/stage_a1_5_structural_mechanism_ablation_report.md; preregistration_commit=fa9ef0771ea44a720ed8b900199a75ef3c863379; result_commit=e4fd9aba83cc6ed3b01b1f624c666b6cc7fce3ca; fix_commits=none; conclusion=Frozen structural dependency patterns recorded descriptively.; warnings=Ablations are predictive dependencies, not causal mechanisms.",true
E_PROV_A16,A1.6,artifacts/a1_6_run_summary.json,stage_determination,all,INTEGRITY,INTEGRITY_ONLY,PASS_WITH_CONDITIONS,,Methods;Appendix,secondary,provenance; determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A1_6_RUN_GROUP_AWARE_BOOTSTRAP.md; report=docs/stage_a1_6_group_aware_bootstrap_report.md; preregistration_commit=d7b851c48581a6c7c6220ab0dfc851b92a32162e; result_commit=040d081d3359f75f1303f4c24d7f8be79b5da75d; fix_commits=none; conclusion=Success/Looping positive LOBO signals stable; several paired differences uncertain.; warnings=Side Effect remains support-diagnostic with invalid sparse-domain draws.,scientific claim upgrade,,,,determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A1_6_RUN_GROUP_AWARE_BOOTSTRAP.md; report=docs/stage_a1_6_group_aware_bootstrap_report.md; preregistration_commit=d7b851c48581a6c7c6220ab0dfc851b92a32162e; result_commit=040d081d3359f75f1303f4c24d7f8be79b5da75d; fix_commits=none; conclusion=Success/Looping positive LOBO signals stable; several paired differences uncertain.; warnings=Side Effect remains support-diagnostic with invalid sparse-domain draws.,true
E_PROV_A17,A1.7,artifacts/a1_7_run_summary.json,stage_determination,all,INTEGRITY,INTEGRITY_ONLY,PASS_WITH_CONDITIONS,,Methods;Appendix,secondary,provenance; determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A1_7_RUN_FROZEN_DENSE_SEMANTIC_BASELINE.md; report=docs/stage_a1_7_frozen_dense_semantic_baseline_report.md; preregistration_commit=e776c16710fd18c1462808a044f911e40061c5c3; result_commit=e24066fa27c027c60e2ac35b8305ea3d4a585493; fix_commits=676ab5efe4f05a2cd5552421510058e5d7553859;362a45917e403be7aacb54359aac2537473508fb; conclusion=Dense semantic Success signal exists without clear incremental AP gain over B2/B3.; warnings=Side Effect has 12 positives; all relative representation claims remain dev-only.,scientific claim upgrade,,,,determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A1_7_RUN_FROZEN_DENSE_SEMANTIC_BASELINE.md; report=docs/stage_a1_7_frozen_dense_semantic_baseline_report.md; preregistration_commit=e776c16710fd18c1462808a044f911e40061c5c3; result_commit=e24066fa27c027c60e2ac35b8305ea3d4a585493; fix_commits=676ab5efe4f05a2cd5552421510058e5d7553859;362a45917e403be7aacb54359aac2537473508fb; conclusion=Dense semantic Success signal exists without clear incremental AP gain over B2/B3.; warnings=Side Effect has 12 positives; all relative representation claims remain dev-only.,true
E_PROV_A18,A1.8,artifacts/a1_8_run_summary.json,stage_determination,all,INTEGRITY,INTEGRITY_ONLY,PASS_WITH_CONDITIONS,,Methods;Appendix,secondary,provenance; determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A1_8_EVIDENCE_AUDIT_AND_PAPER_CLAIM_MATRIX.md; report=docs/stage_a1_8_evidence_audit_report.md; preregistration_commit=d2f0b84c6247c95cc599b28784c5a2db10ad947f; result_commit=ddc3f9b6ef89ada12b7393fc31c5b57dbb7118f0; fix_commits=a7406bcc2e4fe885c02a0024243abfa6fee8fb61; conclusion=Dev evidence and claim boundaries frozen before final-method selection.; warnings=Side Effect descriptive/exploratory; A1.4 model-only transfer only.,scientific claim upgrade,,,,determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A1_8_EVIDENCE_AUDIT_AND_PAPER_CLAIM_MATRIX.md; report=docs/stage_a1_8_evidence_audit_report.md; preregistration_commit=d2f0b84c6247c95cc599b28784c5a2db10ad947f; result_commit=ddc3f9b6ef89ada12b7393fc31c5b57dbb7118f0; fix_commits=a7406bcc2e4fe885c02a0024243abfa6fee8fb61; conclusion=Dev evidence and claim boundaries frozen before final-method selection.; warnings=Side Effect descriptive/exploratory; A1.4 model-only transfer only.,true
E_PROV_A19,A1.9,artifacts/a1_9_run_summary.json,stage_determination,all,METHOD_FREEZE,INTEGRITY_ONLY,PASS_WITH_CONDITIONS,,Methods;Appendix,secondary,"provenance; determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A1_9_FINAL_METHOD_FREEZE_AND_TEST_PREREGISTRATION.md; report=docs/stage_a1_9_final_method_freeze_report.md; preregistration_commit=4944df46be45d8ad52d57a051e04b59c4a1a82ee; result_commit=8f96a6f032ee9b4dd0272164d60230303612043b; fix_commits=none; conclusion=Success B2, Looping B2, and exploratory Side Effect B4 frozen before test.; warnings=Dev-only comparisons cannot be upgraded by official test outcomes.",scientific claim upgrade,,,,"determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A1_9_FINAL_METHOD_FREEZE_AND_TEST_PREREGISTRATION.md; report=docs/stage_a1_9_final_method_freeze_report.md; preregistration_commit=4944df46be45d8ad52d57a051e04b59c4a1a82ee; result_commit=8f96a6f032ee9b4dd0272164d60230303612043b; fix_commits=none; conclusion=Success B2, Looping B2, and exploratory Side Effect B4 frozen before test.; warnings=Dev-only comparisons cannot be upgraded by official test outcomes.",true
E_PROV_A110a,A1.10a,artifacts/a1_10a_run_summary.json,stage_determination,all,INTEGRITY,INTEGRITY_ONLY,PASS,,Methods;Appendix,secondary,"provenance; determination=PASS; taskbook=docs/tasks/STAGE_A1_10_BLIND_FIRST_OFFICIAL_TEST_EVALUATION.md; report=docs/stage_a1_10a_blind_test_inference_report.md; preregistration_commit=d32f9e215f27425ce907493344e4c65c835e91f6; result_commit=cead3cbaa362da4a9918dab32e41b58fffb987d9; fix_commits=100966969bf36c968051dea7fbbb675c1814b7cd; conclusion=Blind predictions committed before any label, eligibility, or metric access.; warnings=Startup dependency failure was fixed before model load and all embedding work restarted.",scientific claim upgrade,,,,"determination=PASS; taskbook=docs/tasks/STAGE_A1_10_BLIND_FIRST_OFFICIAL_TEST_EVALUATION.md; report=docs/stage_a1_10a_blind_test_inference_report.md; preregistration_commit=d32f9e215f27425ce907493344e4c65c835e91f6; result_commit=cead3cbaa362da4a9918dab32e41b58fffb987d9; fix_commits=100966969bf36c968051dea7fbbb675c1814b7cd; conclusion=Blind predictions committed before any label, eligibility, or metric access.; warnings=Startup dependency failure was fixed before model load and all embedding work restarted.",true
E_PROV_A110b,A1.10b,artifacts/a1_10_run_summary.json,stage_determination,all,BLIND_TEST,INTEGRITY_ONLY,PASS,,Methods;Appendix,secondary,provenance; determination=PASS; taskbook=docs/tasks/STAGE_A1_10_BLIND_FIRST_OFFICIAL_TEST_EVALUATION.md; report=docs/stage_a1_10_official_test_evaluation_report.md; preregistration_commit=042866147e7b4a0c930eeb120d6e642cb34773a7; result_commit=53d81eb17e1be52e55489f5fbdf1f72018c5a349; fix_commits=3f0bc4da460652a74ae4767ff6d482fd4116ec9f;85cb71a49c9c25c9284562afad751f975d787608; conclusion=Success and Looping confirmed within evaluated families; Side Effect exploratory.; warnings=Per-benchmark results descriptive only; no unseen-benchmark or joint OOD claim.,scientific claim upgrade,,,,determination=PASS; taskbook=docs/tasks/STAGE_A1_10_BLIND_FIRST_OFFICIAL_TEST_EVALUATION.md; report=docs/stage_a1_10_official_test_evaluation_report.md; preregistration_commit=042866147e7b4a0c930eeb120d6e642cb34773a7; result_commit=53d81eb17e1be52e55489f5fbdf1f72018c5a349; fix_commits=3f0bc4da460652a74ae4767ff6d482fd4116ec9f;85cb71a49c9c25c9284562afad751f975d787608; conclusion=Success and Looping confirmed within evaluated families; Side Effect exploratory.; warnings=Per-benchmark results descriptive only; no unseen-benchmark or joint OOD claim.,true
E_A12_SUCCESS_B2_POOLED_AP,A1.2,artifacts/a1_2_pooled_metrics.csv,pooled AP,success,DEV_BASELINE,DEV_ONLY,0.5460325657667283,,Results R1;Results R2;Appendix,secondary,dev_only; source_row_key=target=success;baseline_id=B2; support_role=secondary; pooled F1=0.6; AP lift=0.243949232433395; provisional dev signal only,official-test comparative claim; universal hierarchy,,,,source_row_key=target=success;baseline_id=B2; support_role=secondary; pooled F1=0.6; AP lift=0.243949232433395; provisional dev signal only,true
E_A12_SUCCESS_B3_POOLED_AP,A1.2,artifacts/a1_2_pooled_metrics.csv,pooled AP,success,DEV_BASELINE,DEV_ONLY,0.3542397136544174,,Results R1;Results R2;Appendix,secondary,dev_only; source_row_key=target=success;baseline_id=B3; support_role=secondary; pooled F1=0.4093567251461988; AP lift=0.052156380321084106; provisional dev signal only,official-test comparative claim; universal hierarchy,,,,source_row_key=target=success;baseline_id=B3; support_role=secondary; pooled F1=0.4093567251461988; AP lift=0.052156380321084106; provisional dev signal only,true
E_A12_SIDE_EFFECT_B2_POOLED_AP,A1.2,artifacts/a1_2_pooled_metrics.csv,pooled AP,side_effect,DEV_BASELINE,DEV_ONLY,0.0713462143994289,,Results R1;Results R2;Appendix,secondary,exploratory_dev; source_row_key=target=side_effect;baseline_id=B2; support_role=diagnostic; pooled F1=0.10869565217391304; AP lift=0.009807752860967356; provisional dev signal only,official-test comparative claim; universal hierarchy,,,,source_row_key=target=side_effect;baseline_id=B2; support_role=diagnostic; pooled F1=0.10869565217391304; AP lift=0.009807752860967356; provisional dev signal only,true
E_A12_SIDE_EFFECT_B3_POOLED_AP,A1.2,artifacts/a1_2_pooled_metrics.csv,pooled AP,side_effect,DEV_BASELINE,DEV_ONLY,0.2256074459108069,,Results R1;Results R2;Appendix,secondary,exploratory_dev; source_row_key=target=side_effect;baseline_id=B3; support_role=diagnostic; pooled F1=0.375; AP lift=0.16406898437234535; provisional dev signal only,official-test comparative claim; universal hierarchy,,,,source_row_key=target=side_effect;baseline_id=B3; support_role=diagnostic; pooled F1=0.375; AP lift=0.16406898437234535; provisional dev signal only,true
E_A12_LOOPING_B2_POOLED_AP,A1.2,artifacts/a1_2_pooled_metrics.csv,pooled AP,looping,DEV_BASELINE,DEV_ONLY,0.9045369820471402,,Results R1;Results R2;Appendix,secondary,dev_only; source_row_key=target=looping;baseline_id=B2; support_role=secondary; pooled F1=0.8944723618090452; AP lift=0.43514922694509933; provisional dev signal only,official-test comparative claim; universal hierarchy,,,,source_row_key=target=looping;baseline_id=B2; support_role=secondary; pooled F1=0.8944723618090452; AP lift=0.43514922694509933; provisional dev signal only,true
E_A12_LOOPING_B3_POOLED_AP,A1.2,artifacts/a1_2_pooled_metrics.csv,pooled AP,looping,DEV_BASELINE,DEV_ONLY,0.6323064085195023,,Results R1;Results R2;Appendix,secondary,dev_only; source_row_key=target=looping;baseline_id=B3; support_role=secondary; pooled F1=0.6606334841628959; AP lift=0.16291865341746142; provisional dev signal only,official-test comparative claim; universal hierarchy,,,,source_row_key=target=looping;baseline_id=B3; support_role=secondary; pooled F1=0.6606334841628959; AP lift=0.16291865341746142; provisional dev signal only,true
E_A13_SUCCESS_B2_MACRO_AP,A1.3,artifacts/a1_3_lobo_macro_metrics.csv,macro AP,success,LOBO,DEV_ONLY,0.4798096424543246,,Results R1;Results R2;Appendix,secondary,dev_only; source_row_key=target=success;baseline_id=B2; support_role=primary; macro F1=0.5173043038079567; macro AP lift=0.18040488054956272; valid domains=4; excluded single-class=0,official-test comparative claim; universal hierarchy,,,,source_row_key=target=success;baseline_id=B2; support_role=primary; macro F1=0.5173043038079567; macro AP lift=0.18040488054956272; valid domains=4; excluded single-class=0,true
E_A13_SUCCESS_B3_MACRO_AP,A1.3,artifacts/a1_3_lobo_macro_metrics.csv,macro AP,success,LOBO,DEV_ONLY,0.42285687836068825,,Results R1;Results R2;Appendix,secondary,dev_only; source_row_key=target=success;baseline_id=B3; support_role=secondary; macro F1=0.39194451668309677; macro AP lift=0.12345211645592635; valid domains=4; excluded single-class=0,official-test comparative claim; universal hierarchy,,,,source_row_key=target=success;baseline_id=B3; support_role=secondary; macro F1=0.39194451668309677; macro AP lift=0.12345211645592635; valid domains=4; excluded single-class=0,true
E_A13_SIDE_EFFECT_B2_MACRO_AP,A1.3,artifacts/a1_3_lobo_macro_metrics.csv,macro AP,side_effect,LOBO,DEV_ONLY,0.06044294222122107,,Results R1;Results R2;Appendix,secondary,exploratory_dev; source_row_key=target=side_effect;baseline_id=B2; support_role=diagnostic; macro F1=0.0698005698005698; macro AP lift=-0.009097287663836396; valid domains=3; excluded single-class=1,official-test comparative claim; universal hierarchy,,,,source_row_key=target=side_effect;baseline_id=B2; support_role=diagnostic; macro F1=0.0698005698005698; macro AP lift=-0.009097287663836396; valid domains=3; excluded single-class=1,true
E_A13_SIDE_EFFECT_B3_MACRO_AP,A1.3,artifacts/a1_3_lobo_macro_metrics.csv,macro AP,side_effect,LOBO,DEV_ONLY,0.11194123811143843,,Results R1;Results R2;Appendix,secondary,exploratory_dev; source_row_key=target=side_effect;baseline_id=B3; support_role=diagnostic; macro F1=0.11674641148325358; macro AP lift=0.04240100822638096; valid domains=3; excluded single-class=1,official-test comparative claim; universal hierarchy,,,,source_row_key=target=side_effect;baseline_id=B3; support_role=diagnostic; macro F1=0.11674641148325358; macro AP lift=0.04240100822638096; valid domains=3; excluded single-class=1,true
E_A13_LOOPING_B2_MACRO_AP,A1.3,artifacts/a1_3_lobo_macro_metrics.csv,macro AP,looping,LOBO,DEV_ONLY,0.8508412981380737,,Results R1;Results R2;Appendix,secondary,dev_only; source_row_key=target=looping;baseline_id=B2; support_role=primary; macro F1=0.8645200477871592; macro AP lift=0.4040609951077707; valid domains=4; excluded single-class=0,official-test comparative claim; universal hierarchy,,,,source_row_key=target=looping;baseline_id=B2; support_role=primary; macro F1=0.8645200477871592; macro AP lift=0.4040609951077707; valid domains=4; excluded single-class=0,true
E_A13_LOOPING_B3_MACRO_AP,A1.3,artifacts/a1_3_lobo_macro_metrics.csv,macro AP,looping,LOBO,DEV_ONLY,0.7041972996375203,,Results R1;Results R2;Appendix,secondary,dev_only; source_row_key=target=looping;baseline_id=B3; support_role=secondary; macro F1=0.6308659815536469; macro AP lift=0.25741699660721723; valid domains=4; excluded single-class=0,official-test comparative claim; universal hierarchy,,,,source_row_key=target=looping;baseline_id=B3; support_role=secondary; macro F1=0.6308659815536469; macro AP lift=0.25741699660721723; valid domains=4; excluded single-class=0,true
E_A14_SUCCESS_B3_MODEL_MACRO_AP,A1.4,artifacts/a1_4_lomo_macro_metrics.csv,all-model macro AP,success,MODEL_TRANSFER,DEV_ONLY,0.8604552991594263,,Results R1;Results R2;Appendix,secondary,exploratory_dev; source_row_key=target=success;baseline_id=B3; support_role=exploratory; all-model macro F1=0.7414182475158084; external task-group counterpart rate=1.0; not joint task-model OOD,official-test comparative claim; universal hierarchy,,,,source_row_key=target=success;baseline_id=B3; support_role=exploratory; all-model macro F1=0.7414182475158084; external task-group counterpart rate=1.0; not joint task-model OOD,true
E_A14_SIDE_EFFECT_B3_MODEL_MACRO_AP,A1.4,artifacts/a1_4_lomo_macro_metrics.csv,all-model macro AP,side_effect,MODEL_TRANSFER,DEV_ONLY,0.6226307189542484,,Results R1;Results R2;Appendix,secondary,exploratory_dev; source_row_key=target=side_effect;baseline_id=B3; support_role=exploratory; all-model macro F1=0.3819444444444444; external task-group counterpart rate=1.0; not joint task-model OOD,official-test comparative claim; universal hierarchy,,,,source_row_key=target=side_effect;baseline_id=B3; support_role=exploratory; all-model macro F1=0.3819444444444444; external task-group counterpart rate=1.0; not joint task-model OOD,true
