trajectory_key,target,label,held_out_model,role,group_key,benchmark_group_primary,benchmark_group_secondary,model_name
visualwebarena::visualwebarena.133::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,visualwebarena::visualwebarena.133,visualwebarena,visualwebarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
visualwebarena::visualwebarena.133::GenericAgent-anthropic_claude-3.7-sonnet,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,visualwebarena::visualwebarena.133,visualwebarena,visualwebarena,GenericAgent-anthropic_claude-3.7-sonnet
visualwebarena::visualwebarena.133::GenericAgent-gpt-4o-2024-11-20,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,visualwebarena::visualwebarena.133,visualwebarena,visualwebarena,GenericAgent-gpt-4o-2024-11-20
visualwebarena::visualwebarena.248::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,visualwebarena::visualwebarena.248,visualwebarena,visualwebarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
visualwebarena::visualwebarena.248::GenericAgent-anthropic_claude-3.7-sonnet,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,visualwebarena::visualwebarena.248,visualwebarena,visualwebarena,GenericAgent-anthropic_claude-3.7-sonnet
visualwebarena::visualwebarena.248::GenericAgent-gpt-4o-2024-11-20,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,visualwebarena::visualwebarena.248,visualwebarena,visualwebarena,GenericAgent-gpt-4o-2024-11-20
visualwebarena::visualwebarena.352::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,visualwebarena::visualwebarena.352,visualwebarena,visualwebarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
visualwebarena::visualwebarena.352::GenericAgent-anthropic_claude-3.7-sonnet,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,visualwebarena::visualwebarena.352,visualwebarena,visualwebarena,GenericAgent-anthropic_claude-3.7-sonnet
visualwebarena::visualwebarena.352::GenericAgent-gpt-4o-2024-11-20,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,visualwebarena::visualwebarena.352,visualwebarena,visualwebarena,GenericAgent-gpt-4o-2024-11-20
visualwebarena::visualwebarena.419::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,visualwebarena::visualwebarena.419,visualwebarena,visualwebarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
visualwebarena::visualwebarena.419::GenericAgent-anthropic_claude-3.7-sonnet,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,visualwebarena::visualwebarena.419,visualwebarena,visualwebarena,GenericAgent-anthropic_claude-3.7-sonnet
visualwebarena::visualwebarena.419::GenericAgent-gpt-4o-2024-11-20,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,visualwebarena::visualwebarena.419,visualwebarena,visualwebarena,GenericAgent-gpt-4o-2024-11-20
visualwebarena::visualwebarena.525::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,visualwebarena::visualwebarena.525,visualwebarena,visualwebarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
visualwebarena::visualwebarena.525::GenericAgent-anthropic_claude-3.7-sonnet,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,visualwebarena::visualwebarena.525,visualwebarena,visualwebarena,GenericAgent-anthropic_claude-3.7-sonnet
visualwebarena::visualwebarena.525::GenericAgent-gpt-4o-2024-11-20,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,visualwebarena::visualwebarena.525,visualwebarena,visualwebarena,GenericAgent-gpt-4o-2024-11-20
visualwebarena::visualwebarena.64::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,visualwebarena::visualwebarena.64,visualwebarena,visualwebarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
visualwebarena::visualwebarena.64::GenericAgent-anthropic_claude-3.7-sonnet,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,visualwebarena::visualwebarena.64,visualwebarena,visualwebarena,GenericAgent-anthropic_claude-3.7-sonnet
visualwebarena::visualwebarena.64::GenericAgent-gpt-4o-2024-11-20,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,visualwebarena::visualwebarena.64,visualwebarena,visualwebarena,GenericAgent-gpt-4o-2024-11-20
visualwebarena::visualwebarena.739::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,visualwebarena::visualwebarena.739,visualwebarena,visualwebarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
visualwebarena::visualwebarena.739::GenericAgent-anthropic_claude-3.7-sonnet,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,visualwebarena::visualwebarena.739,visualwebarena,visualwebarena,GenericAgent-anthropic_claude-3.7-sonnet
visualwebarena::visualwebarena.739::GenericAgent-gpt-4o-2024-11-20,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,visualwebarena::visualwebarena.739,visualwebarena,visualwebarena,GenericAgent-gpt-4o-2024-11-20
webarena::webarena.15::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,webarena::webarena.15,webarena,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
webarena::webarena.15::GenericAgent-anthropic_claude-3.7-sonnet,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.15,webarena,webarena,GenericAgent-anthropic_claude-3.7-sonnet
webarena::webarena.15::GenericAgent-gpt-4o-2024-11-20,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.15,webarena,webarena,GenericAgent-gpt-4o-2024-11-20
webarena::webarena.15::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.15,webarena,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct
webarena::webarena.171::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,webarena::webarena.171,webarena,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
webarena::webarena.171::GenericAgent-anthropic_claude-3.7-sonnet,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.171,webarena,webarena,GenericAgent-anthropic_claude-3.7-sonnet
webarena::webarena.171::GenericAgent-gpt-4o-2024-11-20,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.171,webarena,webarena,GenericAgent-gpt-4o-2024-11-20
webarena::webarena.171::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.171,webarena,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct
webarena::webarena.265::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,webarena::webarena.265,webarena,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
webarena::webarena.265::GenericAgent-anthropic_claude-3.7-sonnet,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.265,webarena,webarena,GenericAgent-anthropic_claude-3.7-sonnet
webarena::webarena.265::GenericAgent-gpt-4o-2024-11-20,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.265,webarena,webarena,GenericAgent-gpt-4o-2024-11-20
webarena::webarena.265::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.265,webarena,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct
webarena::webarena.27::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,webarena::webarena.27,webarena,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
webarena::webarena.27::GenericAgent-anthropic_claude-3.7-sonnet,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.27,webarena,webarena,GenericAgent-anthropic_claude-3.7-sonnet
webarena::webarena.27::GenericAgent-gpt-4o-2024-11-20,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.27,webarena,webarena,GenericAgent-gpt-4o-2024-11-20
webarena::webarena.27::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.27,webarena,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct
webarena::webarena.306::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,webarena::webarena.306,webarena,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
webarena::webarena.306::GenericAgent-anthropic_claude-3.7-sonnet,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.306,webarena,webarena,GenericAgent-anthropic_claude-3.7-sonnet
webarena::webarena.306::GenericAgent-gpt-4o-2024-11-20,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.306,webarena,webarena,GenericAgent-gpt-4o-2024-11-20
webarena::webarena.306::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.306,webarena,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct
webarena::webarena.327::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,webarena::webarena.327,webarena,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
webarena::webarena.327::GenericAgent-anthropic_claude-3.7-sonnet,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.327,webarena,webarena,GenericAgent-anthropic_claude-3.7-sonnet
webarena::webarena.327::GenericAgent-gpt-4o-2024-11-20,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.327,webarena,webarena,GenericAgent-gpt-4o-2024-11-20
webarena::webarena.327::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.327,webarena,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct
webarena::webarena.33::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,webarena::webarena.33,webarena,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
webarena::webarena.33::GenericAgent-anthropic_claude-3.7-sonnet,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.33,webarena,webarena,GenericAgent-anthropic_claude-3.7-sonnet
webarena::webarena.33::GenericAgent-gpt-4o-2024-11-20,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.33,webarena,webarena,GenericAgent-gpt-4o-2024-11-20
webarena::webarena.33::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.33,webarena,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct
webarena::webarena.344::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,webarena::webarena.344,webarena,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
webarena::webarena.344::GenericAgent-anthropic_claude-3.7-sonnet,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.344,webarena,webarena,GenericAgent-anthropic_claude-3.7-sonnet
webarena::webarena.344::GenericAgent-gpt-4o-2024-11-20,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.344,webarena,webarena,GenericAgent-gpt-4o-2024-11-20
webarena::webarena.344::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.344,webarena,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct
webarena::webarena.370::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,webarena::webarena.370,webarena,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
webarena::webarena.370::GenericAgent-anthropic_claude-3.7-sonnet,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.370,webarena,webarena,GenericAgent-anthropic_claude-3.7-sonnet
webarena::webarena.370::GenericAgent-gpt-4o-2024-11-20,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.370,webarena,webarena,GenericAgent-gpt-4o-2024-11-20
webarena::webarena.370::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.370,webarena,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct
webarena::webarena.380::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,webarena::webarena.380,webarena,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
webarena::webarena.380::GenericAgent-anthropic_claude-3.7-sonnet,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.380,webarena,webarena,GenericAgent-anthropic_claude-3.7-sonnet
webarena::webarena.380::GenericAgent-gpt-4o-2024-11-20,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.380,webarena,webarena,GenericAgent-gpt-4o-2024-11-20
webarena::webarena.380::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.380,webarena,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct
webarena::webarena.416::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,webarena::webarena.416,webarena,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
webarena::webarena.416::GenericAgent-anthropic_claude-3.7-sonnet,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.416,webarena,webarena,GenericAgent-anthropic_claude-3.7-sonnet
webarena::webarena.416::GenericAgent-gpt-4o-2024-11-20,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.416,webarena,webarena,GenericAgent-gpt-4o-2024-11-20
webarena::webarena.416::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.416,webarena,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct
webarena::webarena.427::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,webarena::webarena.427,webarena,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
webarena::webarena.427::GenericAgent-anthropic_claude-3.7-sonnet,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.427,webarena,webarena,GenericAgent-anthropic_claude-3.7-sonnet
webarena::webarena.427::GenericAgent-gpt-4o-2024-11-20,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.427,webarena,webarena,GenericAgent-gpt-4o-2024-11-20
webarena::webarena.427::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.427,webarena,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct
webarena::webarena.430::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,webarena::webarena.430,webarena,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
webarena::webarena.430::GenericAgent-anthropic_claude-3.7-sonnet,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.430,webarena,webarena,GenericAgent-anthropic_claude-3.7-sonnet
webarena::webarena.430::GenericAgent-gpt-4o-2024-11-20,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.430,webarena,webarena,GenericAgent-gpt-4o-2024-11-20
webarena::webarena.430::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.430,webarena,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct
webarena::webarena.578::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,webarena::webarena.578,webarena,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
webarena::webarena.578::GenericAgent-anthropic_claude-3.7-sonnet,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.578,webarena,webarena,GenericAgent-anthropic_claude-3.7-sonnet
webarena::webarena.578::GenericAgent-gpt-4o-2024-11-20,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.578,webarena,webarena,GenericAgent-gpt-4o-2024-11-20
webarena::webarena.578::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.578,webarena,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct
webarena::webarena.583::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,webarena::webarena.583,webarena,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
webarena::webarena.583::GenericAgent-anthropic_claude-3.7-sonnet,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.583,webarena,webarena,GenericAgent-anthropic_claude-3.7-sonnet
webarena::webarena.583::GenericAgent-gpt-4o-2024-11-20,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.583,webarena,webarena,GenericAgent-gpt-4o-2024-11-20
webarena::webarena.583::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.583,webarena,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct
webarena::webarena.586::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,webarena::webarena.586,webarena,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
webarena::webarena.586::GenericAgent-anthropic_claude-3.7-sonnet,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,webarena::webarena.586,webarena,webarena,GenericAgent-anthropic_claude-3.7-sonnet
