field_path,observed_type,example_value_redacted,presence_count,benchmark,model_name,possible_semantic_role
$.experiment,str,GenericAgent-gpt-4o-2024-11-20_on_assistantbench.improved.validation,1,assistantbench,GenericAgent-gpt-4o-2024-11-20,unclassified
$.experiment,str,GenericAgent-meta-llama_Llama-3.3-70B-Instruct_on_assistantbench.improved.valida…,1,assistantbench,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,unclassified
$.experiment,str,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,1,visualwebarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,unclassified
$.experiment,str,GenericAgent-anthropic_claude-3.7-sonnet_on_visualwebarena.resized,1,visualwebarena,GenericAgent-anthropic_claude-3.7-sonnet,unclassified
$.experiment,str,GenericAgent-gpt-4o-2024-11-20_on_visualwebarena,1,visualwebarena,GenericAgent-gpt-4o-2024-11-20,unclassified
$.experiment,str,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_webarena,2,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,unclassified
$.experiment,str,GenericAgent-anthropic_claude-3.7-sonnet_on_webarena,1,webarena,GenericAgent-anthropic_claude-3.7-sonnet,unclassified
$.experiment,str,GenericAgent-gpt-4o-2024-11-20_on_webarena,1,webarena,GenericAgent-gpt-4o-2024-11-20,unclassified
$.experiment,str,GenericAgent-meta-llama_Llama-3.3-70B-Instruct_on_webarena,1,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,unclassified
$.experiment,str,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_workarena.servicenow,1,workarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,unclassified
$.experiment,str,GenericAgent-anthropic_claude-3.7-sonnet_on_workarena.servicenow,1,workarena,GenericAgent-anthropic_claude-3.7-sonnet,unclassified
$.experiment,str,GenericAgent-gpt-4o-2024-11-20_on_workarena.servicenow,1,workarena,GenericAgent-gpt-4o-2024-11-20,unclassified
$.experiment,str,GenericAgent-meta-llama_Llama-3.3-70B-Instruct_on_workarena.servicenow,1,workarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,unclassified
$.flags,dict,<dict:16>,1,assistantbench,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,unclassified
$.flags,dict,<dict:16>,1,assistantbench,GenericAgent-anthropic_claude-3.7-sonnet,unclassified
$.flags,dict,<dict:16>,1,assistantbench,GenericAgent-gpt-4o-2024-11-20,unclassified
$.flags,dict,<dict:16>,1,assistantbench,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,unclassified
$.flags,dict,<dict:16>,1,visualwebarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,unclassified
$.flags,dict,<dict:16>,1,visualwebarena,GenericAgent-anthropic_claude-3.7-sonnet,unclassified
$.flags,dict,<dict:16>,1,visualwebarena,GenericAgent-gpt-4o-2024-11-20,unclassified
$.flags,dict,<dict:16>,2,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,unclassified
$.flags,dict,<dict:16>,1,webarena,GenericAgent-anthropic_claude-3.7-sonnet,unclassified
$.flags,dict,<dict:16>,1,webarena,GenericAgent-gpt-4o-2024-11-20,unclassified
$.flags,dict,<dict:16>,1,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,unclassified
$.flags,dict,<dict:16>,1,workarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,unclassified
$.flags,dict,<dict:16>,1,workarena,GenericAgent-anthropic_claude-3.7-sonnet,unclassified
$.flags,dict,<dict:16>,1,workarena,GenericAgent-gpt-4o-2024-11-20,unclassified
$.flags,dict,<dict:16>,1,workarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,unclassified
$.flags.action,dict,<dict:5>,1,assistantbench,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action,dict,<dict:5>,1,assistantbench,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action,dict,<dict:5>,1,assistantbench,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action,dict,<dict:5>,1,assistantbench,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action,dict,<dict:5>,1,visualwebarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action,dict,<dict:5>,1,visualwebarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action,dict,<dict:5>,1,visualwebarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action,dict,<dict:5>,2,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action,dict,<dict:5>,1,webarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action,dict,<dict:5>,1,webarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action,dict,<dict:5>,1,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action,dict,<dict:5>,1,workarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action,dict,<dict:5>,1,workarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action,dict,<dict:5>,1,workarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action,dict,<dict:5>,1,workarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.action_set,dict,<dict:5>,1,assistantbench,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.action_set,dict,<dict:5>,1,assistantbench,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.action_set,dict,<dict:5>,1,assistantbench,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.action_set,dict,<dict:5>,1,assistantbench,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.action_set,dict,<dict:5>,1,visualwebarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.action_set,dict,<dict:5>,1,visualwebarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.action_set,dict,<dict:5>,1,visualwebarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.action_set,dict,<dict:5>,2,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.action_set,dict,<dict:5>,1,webarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.action_set,dict,<dict:5>,1,webarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.action_set,dict,<dict:5>,1,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.action_set,dict,<dict:5>,1,workarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.action_set,dict,<dict:5>,1,workarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.action_set,dict,<dict:5>,1,workarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.action_set,dict,<dict:5>,1,workarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.action_set.demo_mode,str,off,1,assistantbench,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.action_set.demo_mode,str,off,1,assistantbench,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.action_set.demo_mode,str,off,1,assistantbench,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.action_set.demo_mode,str,off,1,assistantbench,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.action_set.demo_mode,str,off,1,visualwebarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.action_set.demo_mode,str,off,1,visualwebarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.action_set.demo_mode,str,off,1,visualwebarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.action_set.demo_mode,str,off,2,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.action_set.demo_mode,str,off,1,webarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.action_set.demo_mode,str,off,1,webarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.action_set.demo_mode,str,off,1,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.action_set.demo_mode,str,off,1,workarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.action_set.demo_mode,str,off,1,workarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.action_set.demo_mode,str,off,1,workarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.action_set.demo_mode,str,off,1,workarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.action_set.multiaction,bool,False,1,assistantbench,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.action_set.multiaction,bool,False,1,assistantbench,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.action_set.multiaction,bool,False,1,assistantbench,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.action_set.multiaction,bool,False,1,assistantbench,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.action_set.multiaction,bool,False,1,visualwebarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.action_set.multiaction,bool,False,1,visualwebarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.action_set.multiaction,bool,False,1,visualwebarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.action_set.multiaction,bool,False,2,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.action_set.multiaction,bool,False,1,webarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.action_set.multiaction,bool,False,1,webarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.action_set.multiaction,bool,False,1,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.action_set.multiaction,bool,False,1,workarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.action_set.multiaction,bool,False,1,workarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.action_set.multiaction,bool,False,1,workarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.action_set.multiaction,bool,False,1,workarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.action_set.retry_with_force,bool,True,1,assistantbench,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.action_set.retry_with_force,bool,True,1,assistantbench,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.action_set.retry_with_force,bool,True,1,assistantbench,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.action_set.retry_with_force,bool,True,1,assistantbench,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.action_set.retry_with_force,bool,True,1,visualwebarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.action_set.retry_with_force,bool,True,1,visualwebarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.action_set.retry_with_force,bool,True,1,visualwebarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.action_set.retry_with_force,bool,True,2,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.action_set.retry_with_force,bool,True,1,webarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.action_set.retry_with_force,bool,True,1,webarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.action_set.retry_with_force,bool,True,1,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.action_set.retry_with_force,bool,True,1,workarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.action_set.retry_with_force,bool,True,1,workarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.action_set.retry_with_force,bool,True,1,workarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.action_set.retry_with_force,bool,True,1,workarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.action_set.strict,bool,False,1,assistantbench,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.action_set.strict,bool,False,1,assistantbench,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.action_set.strict,bool,False,1,assistantbench,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.action_set.strict,bool,False,1,assistantbench,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.action_set.strict,bool,False,1,visualwebarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.action_set.strict,bool,False,1,visualwebarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.action_set.strict,bool,False,1,visualwebarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.action_set.strict,bool,False,2,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.action_set.strict,bool,False,1,webarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.action_set.strict,bool,False,1,webarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.action_set.strict,bool,False,1,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.action_set.strict,bool,False,1,workarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.action_set.strict,bool,False,1,workarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.action_set.strict,bool,False,1,workarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.action_set.strict,bool,False,1,workarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.action_set.subsets,list,<list:1>,1,assistantbench,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.action_set.subsets,list,<list:1>,1,assistantbench,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.action_set.subsets,list,<list:1>,1,assistantbench,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.action_set.subsets,list,<list:1>,1,assistantbench,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.action_set.subsets,list,<list:1>,1,visualwebarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.action_set.subsets,list,<list:1>,1,visualwebarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.action_set.subsets,list,<list:1>,1,visualwebarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.action_set.subsets,list,<list:1>,2,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.action_set.subsets,list,<list:1>,1,webarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.action_set.subsets,list,<list:1>,1,webarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.action_set.subsets,list,<list:1>,1,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.action_set.subsets,list,<list:1>,1,workarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.action_set.subsets,list,<list:1>,1,workarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.action_set.subsets,list,<list:1>,1,workarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.action_set.subsets,list,<list:1>,1,workarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.action_set.subsets[],str,assistantbench,1,assistantbench,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.action_set.subsets[],str,assistantbench,1,assistantbench,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.action_set.subsets[],str,assistantbench,1,assistantbench,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.action_set.subsets[],str,assistantbench,1,assistantbench,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.action_set.subsets[],str,visualwebarena,1,visualwebarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.action_set.subsets[],str,visualwebarena,1,visualwebarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.action_set.subsets[],str,visualwebarena,1,visualwebarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.action_set.subsets[],str,webarena,2,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.action_set.subsets[],str,webarena,1,webarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.action_set.subsets[],str,webarena,1,webarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.action_set.subsets[],str,webarena,1,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.action_set.subsets[],str,workarena++,1,workarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.action_set.subsets[],str,workarena++,1,workarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.action_set.subsets[],str,workarena++,1,workarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.action_set.subsets[],str,workarena++,1,workarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.individual_examples,bool,False,1,assistantbench,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.individual_examples,bool,False,1,assistantbench,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.individual_examples,bool,False,1,assistantbench,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.individual_examples,bool,False,1,assistantbench,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.individual_examples,bool,False,1,visualwebarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.individual_examples,bool,False,1,visualwebarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.individual_examples,bool,False,1,visualwebarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.individual_examples,bool,False,2,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.individual_examples,bool,False,1,webarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.individual_examples,bool,False,1,webarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.individual_examples,bool,False,1,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.individual_examples,bool,False,1,workarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.individual_examples,bool,False,1,workarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.individual_examples,bool,False,1,workarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.individual_examples,bool,False,1,workarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.is_strict,null,None,1,assistantbench,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.is_strict,null,None,1,assistantbench,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.is_strict,null,None,1,assistantbench,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.is_strict,null,None,1,assistantbench,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.is_strict,null,None,1,visualwebarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.is_strict,null,None,1,visualwebarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.is_strict,null,None,1,visualwebarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.is_strict,null,None,2,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.is_strict,null,None,1,webarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.is_strict,null,None,1,webarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.is_strict,null,None,1,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.is_strict,null,None,1,workarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.is_strict,null,None,1,workarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.is_strict,null,None,1,workarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.is_strict,null,None,1,workarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.long_description,bool,False,1,assistantbench,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.long_description,bool,False,1,assistantbench,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.long_description,bool,False,1,assistantbench,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.long_description,bool,False,1,assistantbench,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.long_description,bool,False,1,visualwebarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.long_description,bool,False,1,visualwebarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.long_description,bool,False,1,visualwebarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.long_description,bool,False,2,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.long_description,bool,False,1,webarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.long_description,bool,False,1,webarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.long_description,bool,False,1,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.long_description,bool,False,1,workarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.long_description,bool,False,1,workarena,GenericAgent-anthropic_claude-3.7-sonnet,action
$.flags.action.long_description,bool,False,1,workarena,GenericAgent-gpt-4o-2024-11-20,action
$.flags.action.long_description,bool,False,1,workarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,action
$.flags.action.multi_actions,null,None,1,assistantbench,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,action
$.flags.action.multi_actions,null,None,1,assistantbench,GenericAgent-anthropic_claude-3.7-sonnet,action
