evidence_id,source_stage,source_path,source_commit,source_hash_or_identifier,evidence_type,supports_sv,supports_pc,summary,direct_or_indirect,verified,notes
R0E036,A3.2_ADDENDUM,artifacts/a3_2_addendum_run_summary.json,bb9dc52467f58769f833e501aa5fa96cb1be9937,e5cbe9ed7c94d821f6ffff2bc1750f78517327d6c7b2e8f3f2794a4416724cbf,machine_summary,SV6,PC1;PC5,"Machine-readable addendum gates, comparability counts, hashes, and zero scientific counters.",DIRECT,true,
R0E037,A3.2,docs/a3_2_positioning_and_novelty_contract.md,bb9dc52467f58769f833e501aa5fa96cb1be9937,6ed7a22720f0bb6ad47f5bbc254f64d9ac4893895c322812debce6fdfd4e0df1,positioning_contract,SV1;SV5,PC1;PC2;PC4;PC5,"Narrow structural-signal positioning, allowed/prohibited novelty wording, and closest-work boundaries.",DIRECT,true,
R0E038,A3.3,docs/stage_a3_3_manuscript_evidence_freeze_report.md,152f03134f2a9c62cafbb380c625766d4c6b197a,e2d6976c28bf24da237835d9801831782e43cf6b3a64ac4ab1601a727e52f8e9,formal_report,SV5;SV6,PC3;PC4;PC5,"Frozen manuscript evidence package, 310 evidence rows, 58 claim-ledger rows, 150 numeric mappings, and readiness status.",DIRECT,true,
R0E039,A3.3,artifacts/a3_3_run_summary.json,152f03134f2a9c62cafbb380c625766d4c6b197a,ac7c87629bb730c96a68284c74a98596a9f90b56ed2d305266abec37503ece24,machine_summary,SV6,PC3;PC4;PC5,"Machine-readable evidence-freeze gates, counts, hashes, zero counters, and drafting readiness.",DIRECT,true,
R0E040,A3.3,artifacts/a3_3_manuscript_evidence_registry.csv,152f03134f2a9c62cafbb380c625766d4c6b197a,0869382ad1f96c4729b7411f9e2b8a5c1274e3d3ecbf8941fed53defa598a6ad,manuscript_evidence_registry,SV5;SV6,PC1;PC2;PC3;PC4;PC5,"310-row manuscript evidence registry linking claims, numbers, sources, citations, sections, and caveats.",DIRECT,true,
R0E041,A3.3,artifacts/a3_3_claim_ledger.csv,152f03134f2a9c62cafbb380c625766d4c6b197a,72d0f4b510fee44f4ff4de26ec8fcf5b876bdf473835ce1d8e6383c4d07c545f,claim_ledger,SV1;SV5;SV6,PC1;PC4;PC5,"Fifty-eight approved, caveated, and forbidden manuscript claims with evidence and scope boundaries.",DIRECT,true,
R0E042,A3.3,artifacts/a3_3_numeric_consistency_map.csv,152f03134f2a9c62cafbb380c625766d4c6b197a,4d8f02682fb972cc69194e9e46ed56750b45a0eaa6c7ce97c3523a70c862b9a6,numeric_consistency_map,SV6,PC3;PC4;PC5,One hundred fifty frozen manuscript display values copied from A3.1 with exact verification.,DIRECT,true,
R0E043,A3.3,artifacts/a3_3_manuscript_readiness_checklist.csv,152f03134f2a9c62cafbb380c625766d4c6b197a,6e8933d644f3e692716d7d39a589d6d328806bcf0e895e93fd91b0f2f3667d0e,readiness_checklist,SV6,PC3;PC4;PC5,"Twenty-five passed readiness checks spanning evidence, claims, boundaries, citations, numeric consistency, and counters.",DIRECT,true,
R0E044,A3.3,docs/a3_3_contribution_contract.md,152f03134f2a9c62cafbb380c625766d4c6b197a,f45c584500da413eb710b324cad6f27103fff669617f5ce7b4e689a36e0f84e5,contribution_contract,SV1;SV6,PC1;PC2;PC4;PC5,"Four frozen contributions, support, scope, and forbidden upgrades.",DIRECT,true,
R0E045,A3.3,docs/a3_3_manuscript_limitations_contract.md,152f03134f2a9c62cafbb380c625766d4c6b197a,6ab286d5093f004b39f6b966bb61c17f583e126e31e4089aadf2ce647190ce2c,limitations_contract,SV1;SV2;SV5;SV6,PC3;PC4;PC5,Fourteen mandatory manuscript limitations including no independent external validation and protocol-mismatched cross-paper comparison.,DIRECT,true,
R0E046,A3.3,docs/a3_3_discussion_contract.md,152f03134f2a9c62cafbb380c625766d4c6b197a,316b2162d61c52a40b8209deecf13f7cd865755936477054b4dd252ee58a05f5,discussion_contract,SV1;SV5;SV6,PC2;PC4;PC5,"Discussion roles and mandatory boundaries for prediction, causality, semantics, confounding, efficiency, and related work.",DIRECT,true,
R0E047,A3.3,docs/a3_3_related_work_integration_contract.md,152f03134f2a9c62cafbb380c625766d4c6b197a,60a8738074e5a6207935bbe4d5640159522df18d82c3c8e544efd4b4b03c9522,related_work_contract,SV6,PC1;PC2;PC4;PC5,Verified citation-only integration and property-comparison boundary.,DIRECT,true,
R0E048,PROVENANCE,artifacts/source_manifest.json,49f7d7c7d6c83f23ff8d6a5a68c671a0d3687177,e47c81f0b3e0cc6ee30718bc329ee92ee62ac8939e2a4bfaec7e6932ca95698d,source_manifest,SV2;SV6,PC3,"Pinned raw metadata sources, revisions, retrieval metadata, and hashes.",DIRECT,true,
