row_index,trajectory_key,payload_token_count,chunk_count,min_chunk_payload_tokens,max_chunk_payload_tokens,probe_member
30,visualwebarena::visualwebarena.248::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,58735,8,1398,8191,False
31,visualwebarena::visualwebarena.248::GenericAgent-anthropic_claude-3.7-sonnet,4689,1,4689,4689,False
32,visualwebarena::visualwebarena.248::GenericAgent-gpt-4o-2024-11-20,4966,1,4966,4966,False
33,visualwebarena::visualwebarena.352::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,19206,3,2824,8191,False
34,visualwebarena::visualwebarena.352::GenericAgent-anthropic_claude-3.7-sonnet,34818,5,2054,8191,False
35,visualwebarena::visualwebarena.352::GenericAgent-gpt-4o-2024-11-20,17340,3,958,8191,False
36,visualwebarena::visualwebarena.419::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,36988,5,4224,8191,False
37,visualwebarena::visualwebarena.419::GenericAgent-anthropic_claude-3.7-sonnet,5367,1,5367,5367,False
38,visualwebarena::visualwebarena.419::GenericAgent-gpt-4o-2024-11-20,38510,5,5746,8191,False
39,visualwebarena::visualwebarena.525::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,2552,1,2552,2552,True
40,visualwebarena::visualwebarena.525::GenericAgent-anthropic_claude-3.7-sonnet,2631,1,2631,2631,False
41,visualwebarena::visualwebarena.525::GenericAgent-gpt-4o-2024-11-20,2576,1,2576,2576,False
42,visualwebarena::visualwebarena.64::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,21385,3,5003,8191,False
43,visualwebarena::visualwebarena.64::GenericAgent-anthropic_claude-3.7-sonnet,4384,1,4384,4384,False
44,visualwebarena::visualwebarena.64::GenericAgent-gpt-4o-2024-11-20,10961,2,2770,8191,False
45,visualwebarena::visualwebarena.739::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,5059,1,5059,5059,False
46,visualwebarena::visualwebarena.739::GenericAgent-anthropic_claude-3.7-sonnet,11352,2,3161,8191,False
47,visualwebarena::visualwebarena.739::GenericAgent-gpt-4o-2024-11-20,9862,2,1671,8191,False
48,webarena::webarena.15::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,49406,7,260,8191,False
49,webarena::webarena.15::GenericAgent-anthropic_claude-3.7-sonnet,10829,2,2638,8191,False
50,webarena::webarena.15::GenericAgent-gpt-4o-2024-11-20,9901,2,1710,8191,False
51,webarena::webarena.15::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,15037,2,6846,8191,False
52,webarena::webarena.171::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,63771,8,6434,8191,True
53,webarena::webarena.171::GenericAgent-anthropic_claude-3.7-sonnet,7782,1,7782,7782,False
54,webarena::webarena.171::GenericAgent-gpt-4o-2024-11-20,4865,1,4865,4865,False
55,webarena::webarena.171::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,9438,2,1247,8191,False
56,webarena::webarena.265::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,26277,4,1704,8191,False
57,webarena::webarena.265::GenericAgent-anthropic_claude-3.7-sonnet,2458,1,2458,2458,False
58,webarena::webarena.265::GenericAgent-gpt-4o-2024-11-20,8344,2,153,8191,False
59,webarena::webarena.265::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,4986,1,4986,4986,False
60,webarena::webarena.27::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,12542,2,4351,8191,False
61,webarena::webarena.27::GenericAgent-anthropic_claude-3.7-sonnet,58018,8,681,8191,False
62,webarena::webarena.27::GenericAgent-gpt-4o-2024-11-20,69314,9,3786,8191,False
63,webarena::webarena.27::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,64105,8,6768,8191,False
64,webarena::webarena.306::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,54501,7,5355,8191,False
65,webarena::webarena.306::GenericAgent-anthropic_claude-3.7-sonnet,44474,6,3519,8191,True
66,webarena::webarena.306::GenericAgent-gpt-4o-2024-11-20,41355,6,400,8191,False
67,webarena::webarena.306::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,46279,6,5324,8191,False
68,webarena::webarena.327::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,50817,7,1671,8191,False
69,webarena::webarena.327::GenericAgent-anthropic_claude-3.7-sonnet,7730,1,7730,7730,False
70,webarena::webarena.327::GenericAgent-gpt-4o-2024-11-20,8995,2,804,8191,False
71,webarena::webarena.327::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,15877,2,7686,8191,False
72,webarena::webarena.33::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,33935,5,1171,8191,False
73,webarena::webarena.33::GenericAgent-anthropic_claude-3.7-sonnet,7496,1,7496,7496,False
74,webarena::webarena.33::GenericAgent-gpt-4o-2024-11-20,2752,1,2752,2752,False
75,webarena::webarena.33::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,4329,1,4329,4329,False
76,webarena::webarena.344::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,8044,1,8044,8044,False
77,webarena::webarena.344::GenericAgent-anthropic_claude-3.7-sonnet,6049,1,6049,6049,False
78,webarena::webarena.344::GenericAgent-gpt-4o-2024-11-20,5978,1,5978,5978,True
79,webarena::webarena.344::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,11335,2,3144,8191,False
80,webarena::webarena.370::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,2261,1,2261,2261,False
81,webarena::webarena.370::GenericAgent-anthropic_claude-3.7-sonnet,2261,1,2261,2261,False
82,webarena::webarena.370::GenericAgent-gpt-4o-2024-11-20,2261,1,2261,2261,False
83,webarena::webarena.370::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,2883,1,2883,2883,False
84,webarena::webarena.380::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,22804,3,6422,8191,False
85,webarena::webarena.380::GenericAgent-anthropic_claude-3.7-sonnet,10301,2,2110,8191,False
86,webarena::webarena.380::GenericAgent-gpt-4o-2024-11-20,8523,2,332,8191,False
87,webarena::webarena.380::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,12762,2,4571,8191,False
88,webarena::webarena.416::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,96898,12,6797,8191,False
89,webarena::webarena.416::GenericAgent-anthropic_claude-3.7-sonnet,82296,11,386,8191,False
90,webarena::webarena.416::GenericAgent-gpt-4o-2024-11-20,89584,11,7674,8191,False
91,webarena::webarena.416::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,58241,8,904,8191,True
92,webarena::webarena.427::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,2771,1,2771,2771,False
93,webarena::webarena.427::GenericAgent-anthropic_claude-3.7-sonnet,2137,1,2137,2137,False
94,webarena::webarena.427::GenericAgent-gpt-4o-2024-11-20,2760,1,2760,2760,False
95,webarena::webarena.427::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,6144,1,6144,6144,False
96,webarena::webarena.430::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,11716,2,3525,8191,False
97,webarena::webarena.430::GenericAgent-anthropic_claude-3.7-sonnet,14887,2,6696,8191,False
98,webarena::webarena.430::GenericAgent-gpt-4o-2024-11-20,19962,3,3580,8191,False
99,webarena::webarena.430::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,16278,2,8087,8191,False
100,webarena::webarena.578::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,54190,7,5044,8191,False
101,webarena::webarena.578::GenericAgent-anthropic_claude-3.7-sonnet,76427,10,2708,8191,False
102,webarena::webarena.578::GenericAgent-gpt-4o-2024-11-20,58897,8,1560,8191,False
103,webarena::webarena.578::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,55394,7,6248,8191,False
104,webarena::webarena.583::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,7138,1,7138,7138,True
105,webarena::webarena.583::GenericAgent-anthropic_claude-3.7-sonnet,5497,1,5497,5497,False
106,webarena::webarena.583::GenericAgent-gpt-4o-2024-11-20,6436,1,6436,6436,False
107,webarena::webarena.583::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,29411,4,4838,8191,False
108,webarena::webarena.586::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,29453,4,4880,8191,False
109,webarena::webarena.586::GenericAgent-anthropic_claude-3.7-sonnet,13911,2,5720,8191,False
110,webarena::webarena.586::GenericAgent-gpt-4o-2024-11-20,65621,9,93,8191,False
111,webarena::webarena.586::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,30329,4,5756,8191,False
112,webarena::webarena.604::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,6414,1,6414,6414,False
113,webarena::webarena.604::GenericAgent-anthropic_claude-3.7-sonnet,4712,1,4712,4712,False
114,webarena::webarena.604::GenericAgent-gpt-4o-2024-11-20,5195,1,5195,5195,False
115,webarena::webarena.604::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,46601,6,5646,8191,False
116,webarena::webarena.629::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,30079,4,5506,8191,False
117,webarena::webarena.629::GenericAgent-anthropic_claude-3.7-sonnet,4225,1,4225,4225,True
118,webarena::webarena.629::GenericAgent-gpt-4o-2024-11-20,4188,1,4188,4188,False
119,webarena::webarena.629::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,26075,4,1502,8191,False
120,webarena::webarena.666::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,51151,7,2005,8191,False
121,webarena::webarena.666::GenericAgent-anthropic_claude-3.7-sonnet,46995,6,6040,8191,False
122,webarena::webarena.666::GenericAgent-gpt-4o-2024-11-20,68703,9,3175,8191,False
123,webarena::webarena.666::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,73323,9,7795,8191,False
124,webarena::webarena.690::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,8353,2,162,8191,False
125,webarena::webarena.690::GenericAgent-anthropic_claude-3.7-sonnet,5339,1,5339,5339,False
126,webarena::webarena.690::GenericAgent-gpt-4o-2024-11-20,5094,1,5094,5094,False
127,webarena::webarena.690::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,20944,3,4562,8191,False
128,webarena::webarena.740::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,8778,2,587,8191,False
129,webarena::webarena.740::GenericAgent-anthropic_claude-3.7-sonnet,4563,1,4563,4563,False
130,webarena::webarena.740::GenericAgent-gpt-4o-2024-11-20,4549,1,4549,4549,True
131,webarena::webarena.740::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,5268,1,5268,5268,False
132,webarena::webarena.778::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,35064,5,2300,8191,False
133,webarena::webarena.778::GenericAgent-anthropic_claude-3.7-sonnet,34529,5,1765,8191,False
134,webarena::webarena.778::GenericAgent-gpt-4o-2024-11-20,36184,5,3420,8191,False
135,webarena::webarena.778::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,33081,5,317,8191,False
136,workarena::workarena.servicenow.create-user::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,21565,3,5183,8191,False
137,workarena::workarena.servicenow.create-user::GenericAgent-anthropic_claude-3.7-sonnet,21640,3,5258,8191,False
138,workarena::workarena.servicenow.create-user::GenericAgent-gpt-4o-2024-11-20,21586,3,5204,8191,False
139,workarena::workarena.servicenow.create-user::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,30586,4,6013,8191,False
140,workarena::workarena.servicenow.dashboard-retrieve-catalog-and-max-order-development-laptop-p-c-l2::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,39349,5,6585,8191,False
141,workarena::workarena.servicenow.dashboard-retrieve-catalog-and-max-order-development-laptop-p-c-l2::GenericAgent-anthropic_claude-3.7-sonnet,35305,5,2541,8191,False
142,workarena::workarena.servicenow.dashboard-retrieve-catalog-and-max-order-development-laptop-p-c-l2::GenericAgent-gpt-4o-2024-11-20,52299,7,3153,8191,False
143,workarena::workarena.servicenow.dashboard-retrieve-catalog-and-max-order-development-laptop-p-c-l2::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,49755,7,609,8191,True
144,workarena::workarena.servicenow.dashboard-retrieve-catalog-and-max-order-standard-laptop-l2::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,38053,5,5289,8191,False
145,workarena::workarena.servicenow.dashboard-retrieve-catalog-and-max-order-standard-laptop-l2::GenericAgent-anthropic_claude-3.7-sonnet,36577,5,3813,8191,False
146,workarena::workarena.servicenow.dashboard-retrieve-catalog-and-max-order-standard-laptop-l2::GenericAgent-gpt-4o-2024-11-20,48921,6,7966,8191,False
147,workarena::workarena.servicenow.dashboard-retrieve-catalog-and-max-order-standard-laptop-l2::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,49912,7,766,8191,False
148,workarena::workarena.servicenow.dashboard-retrieve-incident-and-max-request-galaxy-note20-l2::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,39598,5,6834,8191,False
149,workarena::workarena.servicenow.dashboard-retrieve-incident-and-max-request-galaxy-note20-l2::GenericAgent-anthropic_claude-3.7-sonnet,34800,5,2036,8191,False
150,workarena::workarena.servicenow.dashboard-retrieve-incident-and-max-request-galaxy-note20-l2::GenericAgent-gpt-4o-2024-11-20,52550,7,3404,8191,False
151,workarena::workarena.servicenow.dashboard-retrieve-incident-and-max-request-galaxy-note20-l2::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,44906,6,3951,8191,False
152,workarena::workarena.servicenow.filter-requested-items-and-order-apple-mac-book-pro15-l2::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,146534,18,7287,8191,False
153,workarena::workarena.servicenow.filter-requested-items-and-order-apple-mac-book-pro15-l2::GenericAgent-anthropic_claude-3.7-sonnet,44876,6,3921,8191,False
154,workarena::workarena.servicenow.filter-requested-items-and-order-apple-mac-book-pro15-l2::GenericAgent-gpt-4o-2024-11-20,160577,20,4948,8191,False
155,workarena::workarena.servicenow.filter-requested-items-and-order-apple-mac-book-pro15-l2::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,68870,9,3342,8191,False
156,workarena::workarena.servicenow.filter-three-items-uniform-expenses-and-find-total-return-large-l2::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,34318,5,1554,8191,True
157,workarena::workarena.servicenow.filter-three-items-uniform-expenses-and-find-total-return-large-l2::GenericAgent-anthropic_claude-3.7-sonnet,81821,10,8102,8191,False
158,workarena::workarena.servicenow.filter-three-items-uniform-expenses-and-find-total-return-large-l2::GenericAgent-gpt-4o-2024-11-20,125851,16,2986,8191,False
159,workarena::workarena.servicenow.filter-three-items-uniform-expenses-and-find-total-return-large-l2::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,50391,7,1245,8191,False
160,workarena::workarena.servicenow.filter-trivial-expenses-find-total-return-and-select-investments-medium-l2::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,55321,7,6175,8191,False
161,workarena::workarena.servicenow.filter-trivial-expenses-find-total-return-and-select-investments-medium-l2::GenericAgent-anthropic_claude-3.7-sonnet,67148,9,1620,8191,False
162,workarena::workarena.servicenow.filter-trivial-expenses-find-total-return-and-select-investments-medium-l2::GenericAgent-gpt-4o-2024-11-20,144374,18,5127,8191,False
163,workarena::workarena.servicenow.filter-trivial-expenses-find-total-return-and-select-investments-medium-l2::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,123203,16,338,8191,False
164,workarena::workarena.servicenow.get-warranty-expiration-date-l2::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,148238,19,800,8191,False
165,workarena::workarena.servicenow.get-warranty-expiration-date-l2::GenericAgent-anthropic_claude-3.7-sonnet,86780,11,4870,8191,False
166,workarena::workarena.servicenow.get-warranty-expiration-date-l2::GenericAgent-gpt-4o-2024-11-20,149368,19,1930,8191,False
167,workarena::workarena.servicenow.get-warranty-expiration-date-l2::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,70223,9,4695,8191,False
168,workarena::workarena.servicenow.high-priority-filter-problems-and-mark-duplicates-medium-l2::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,115204,15,530,8191,False
169,workarena::workarena.servicenow.high-priority-filter-problems-and-mark-duplicates-medium-l2::GenericAgent-anthropic_claude-3.7-sonnet,102964,13,4672,8191,True
170,workarena::workarena.servicenow.high-priority-filter-problems-and-mark-duplicates-medium-l2::GenericAgent-gpt-4o-2024-11-20,105616,13,7324,8191,False
171,workarena::workarena.servicenow.high-priority-filter-problems-and-mark-duplicates-medium-l2::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,56053,7,6907,8191,False
172,workarena::workarena.servicenow.infeasible-navigate-and-create-hardware-asset-with-reason-l2::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,39287,5,6523,8191,False
173,workarena::workarena.servicenow.infeasible-navigate-and-create-hardware-asset-with-reason-l2::GenericAgent-anthropic_claude-3.7-sonnet,68465,9,2937,8191,False
174,workarena::workarena.servicenow.infeasible-navigate-and-create-hardware-asset-with-reason-l2::GenericAgent-gpt-4o-2024-11-20,67523,9,1995,8191,False
175,workarena::workarena.servicenow.infeasible-navigate-and-create-hardware-asset-with-reason-l2::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,64048,8,6711,8191,False
176,workarena::workarena.servicenow.navigate-and-order-apple-mac-book-pro15-l2::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,11614,2,3423,8191,False
177,workarena::workarena.servicenow.navigate-and-order-apple-mac-book-pro15-l2::GenericAgent-anthropic_claude-3.7-sonnet,11240,2,3049,8191,False
178,workarena::workarena.servicenow.navigate-and-order-apple-mac-book-pro15-l2::GenericAgent-gpt-4o-2024-11-20,18301,3,1919,8191,False
179,workarena::workarena.servicenow.navigate-and-order-apple-mac-book-pro15-l2::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,13872,2,5681,8191,False
180,workarena::workarena.servicenow.navigate-and-order-loaner-laptop-l2::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,15277,2,7086,8191,False
181,workarena::workarena.servicenow.navigate-and-order-loaner-laptop-l2::GenericAgent-anthropic_claude-3.7-sonnet,14069,2,5878,8191,False
182,workarena::workarena.servicenow.navigate-and-order-loaner-laptop-l2::GenericAgent-gpt-4o-2024-11-20,13910,2,5719,8191,True
183,workarena::workarena.servicenow.navigate-and-order-loaner-laptop-l2::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,25278,4,705,8191,False
184,workarena::workarena.servicenow.priority-filter-problems-and-mark-duplicates-medium-l2::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,117495,15,2821,8191,False
185,workarena::workarena.servicenow.priority-filter-problems-and-mark-duplicates-medium-l2::GenericAgent-anthropic_claude-3.7-sonnet,94706,12,4605,8191,False
186,workarena::workarena.servicenow.priority-filter-problems-and-mark-duplicates-medium-l2::GenericAgent-gpt-4o-2024-11-20,115856,15,1182,8191,False
187,workarena::workarena.servicenow.priority-filter-problems-and-mark-duplicates-medium-l2::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,112677,14,6194,8191,False
188,workarena::workarena.servicenow.sort-user-list::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,79852,10,6133,8191,False
189,workarena::workarena.servicenow.sort-user-list::GenericAgent-anthropic_claude-3.7-sonnet,94350,12,4249,8191,False
190,workarena::workarena.servicenow.sort-user-list::GenericAgent-gpt-4o-2024-11-20,77946,10,4227,8191,False
191,workarena::workarena.servicenow.sort-user-list::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,91389,12,1288,8191,False
192,workarena::workarena.servicenow.three-changes-fix-wide-priority-uniform-risk-change-request-scheduling-l2::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,31925,4,7352,8191,False
193,workarena::workarena.servicenow.three-changes-fix-wide-priority-uniform-risk-change-request-scheduling-l2::GenericAgent-anthropic_claude-3.7-sonnet,129625,16,6760,8191,False
194,workarena::workarena.servicenow.three-changes-fix-wide-priority-uniform-risk-change-request-scheduling-l2::GenericAgent-gpt-4o-2024-11-20,51876,7,2730,8191,False
195,workarena::workarena.servicenow.three-changes-fix-wide-priority-uniform-risk-change-request-scheduling-l2::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,94506,12,4405,8191,True
