field_path,observed_type,policy_class,included_in_primary,included_in_error_ablation,included_in_reasoning_sensitivity,justification,risk_notes
$.steps[].axtree_obj.nodes[],dict,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].backendDOMNodeId,int,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].browsergym_id,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].childIds,list,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].childIds[],str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].chromeRole,dict,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].chromeRole.type,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].chromeRole.value,int,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].description,dict,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].description.type,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].description.value,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].frameId,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].ignored,bool,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].ignoredReasons,list,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].ignoredReasons[],dict,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].ignoredReasons[].name,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].ignoredReasons[].value,dict,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].ignoredReasons[].value.relatedNodes,list,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].ignoredReasons[].value.relatedNodes[],dict,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].ignoredReasons[].value.relatedNodes[].backendDOMNodeId,int,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].ignoredReasons[].value.relatedNodes[].idref,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].ignoredReasons[].value.type,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].ignoredReasons[].value.value,bool,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].name,dict,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].name.sources,list,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].name.sources[],dict,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].name.sources[].attribute,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].name.sources[].attributeValue,dict,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].name.sources[].attributeValue.relatedNodes,list,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].name.sources[].attributeValue.relatedNodes[],dict,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].name.sources[].attributeValue.relatedNodes[].backendDOMNodeId,int,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].name.sources[].attributeValue.relatedNodes[].idref,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].name.sources[].attributeValue.relatedNodes[].text,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].name.sources[].attributeValue.type,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].name.sources[].attributeValue.value,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].name.sources[].nativeSource,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].name.sources[].nativeSourceValue,dict,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].name.sources[].nativeSourceValue.relatedNodes,list,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].name.sources[].nativeSourceValue.relatedNodes[],dict,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].name.sources[].nativeSourceValue.relatedNodes[].backendDOMNodeId,int,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].name.sources[].nativeSourceValue.relatedNodes[].text,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].name.sources[].nativeSourceValue.type,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].name.sources[].superseded,bool,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].name.sources[].type,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].name.sources[].value,dict,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].name.sources[].value.type,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].name.sources[].value.value,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].name.type,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].name.value,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].nodeId,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].parentId,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].properties,list,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].properties[],dict,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].properties[].name,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].properties[].value,dict,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].properties[].value.relatedNodes,list,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].properties[].value.relatedNodes[],dict,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].properties[].value.relatedNodes[].backendDOMNodeId,int,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].properties[].value.relatedNodes[].idref,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].properties[].value.relatedNodes[].text,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].properties[].value.type,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].properties[].value.value,bool,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].properties[].value.value,int,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].properties[].value.value,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].role,dict,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].role.type,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].role.value,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].value,dict,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].value.type,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes[].value.value,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_pruned,str,primary_input,true,true,true,Explicitly allowlisted task/action/observation/focus/natural-error field.,Natural error text requires the frozen ablation; no official outcome fields are admitted.
$.steps[].bounding_boxes,dict,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].bounding_boxes.{*},dict,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].bounding_boxes.{*}.bbox,list,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].bounding_boxes.{*}.bbox,null,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].bounding_boxes.{*}.bbox[],float,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].bounding_boxes.{*}.bbox[],int,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].bounding_boxes.{*}.clickable,bool,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].bounding_boxes.{*}.set_of_marks,bool,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].bounding_boxes.{*}.visibility,float,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].chat_messages,list,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].chat_messages[],dict,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].chat_messages[].content,list,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].chat_messages[].content,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].chat_messages[].content[],dict,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].chat_messages[].content[].image_url,dict,permanent_exclude,false,false,false,"Image content, placeholders, and paths are prohibited in the text contract.",Only a derived boolean reference flag is retained.
$.steps[].chat_messages[].content[].image_url.detail,str,permanent_exclude,false,false,false,"Image content, placeholders, and paths are prohibited in the text contract.",Only a derived boolean reference flag is retained.
$.steps[].chat_messages[].content[].image_url.url,str,permanent_exclude,false,false,false,"Image content, placeholders, and paths are prohibited in the text contract.",Only a derived boolean reference flag is retained.
$.steps[].chat_messages[].content[].text,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].chat_messages[].content[].type,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].chat_messages[].role,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].extra_element_properties,dict,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].extra_element_properties.{*},dict,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].extra_element_properties.{*}.bbox,list,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].extra_element_properties.{*}.bbox,null,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].extra_element_properties.{*}.bbox[],float,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].extra_element_properties.{*}.bbox[],int,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].extra_element_properties.{*}.clickable,bool,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].extra_element_properties.{*}.set_of_marks,bool,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].extra_element_properties.{*}.visibility,float,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].focused_element,null,primary_input,true,true,true,Explicitly allowlisted task/action/observation/focus/natural-error field.,Natural error text requires the frozen ablation; no official outcome fields are admitted.
$.steps[].focused_element,str,primary_input,true,true,true,Explicitly allowlisted task/action/observation/focus/natural-error field.,Natural error text requires the frozen ablation; no official outcome fields are admitted.
$.steps[].last_action_error,str,primary_input,true,false,true,Explicitly allowlisted task/action/observation/focus/natural-error field.,Natural error text requires the frozen ablation; no official outcome fields are admitted.
$.steps[].num,int,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.steps[].open_pages_urls,list,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.steps[].open_pages_urls[],str,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.steps[].reasoning,null,sensitivity_only,false,false,true,Reasoning is excluded from primary input and retained only in its named sensitivity view.,Availability and style can reveal model identity.
$.steps[].reasoning,str,sensitivity_only,false,false,true,Reasoning is excluded from primary input and retained only in its named sensitivity view.,Availability and style can reveal model identity.
$.steps[].screenshot_path,str,permanent_exclude,false,false,false,"Image content, placeholders, and paths are prohibited in the text contract.",Only a derived boolean reference flag is retained.
$.steps[].stats,dict,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.steps[].stats,null,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.steps[].stats.busted_retry,int,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.steps[].stats.cost,float,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.steps[].stats.input_tokens,int,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.steps[].stats.n_retry,float,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.steps[].stats.n_retry_llm,int,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.steps[].stats.output_tokens,int,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
