claim_id,manuscript_section,claim_text_template,claim_strength,target,evidence_ids,citation_keys,allowed,required_caveat,forbidden_variant,status
FD8,Discussion,A universal model-complexity hierarchy is established.,DEV_ONLY,All,E_A17_Q2_SUCCESS_MACRO_AP_DELTA;E_A17_Q3_SUCCESS_MACRO_AP_DELTA;E_A17_Q5_LOOPING_MACRO_AP_DELTA,,false,no clear uniform hierarchy; dev-only,simple or complex models universally superior,FORBIDDEN
FD9,Discussion,A fixed cross-dimension representation hierarchy is established.,DEV_ONLY,All,E_A16_P1_SUCCESS_MACRO_AP_LIFT;E_A16_P5_LOOPING_MACRO_AP_LIFT;E_A17_Q4_SIDE_EFFECT_MACRO_AP,,false,different empirical relationships; no fixed hierarchy,universal information hierarchy or causal theory,FORBIDDEN
DH1,Results; Limitations,Success varies descriptively across the four evaluated benchmark families.,DESCRIPTIVE_ONLY,Success,E_A110_SUCCESS_ASSISTANTBENCH_DESCRIPTIVE;E_A110_SUCCESS_VISUALWEBARENA_DESCRIPTIVE;E_A110_SUCCESS_WEBARENA_DESCRIPTIVE;E_A110_SUCCESS_WORKARENA_DESCRIPTIVE,,true,descriptive heterogeneity only,Benchmark A significantly outperforms Benchmark B,APPROVED_WITH_CAVEAT
DH2,Results; Limitations,Looping varies descriptively across the four evaluated benchmark families.,DESCRIPTIVE_ONLY,Looping,E_A110_LOOPING_ASSISTANTBENCH_DESCRIPTIVE;E_A110_LOOPING_VISUALWEBARENA_DESCRIPTIVE;E_A110_LOOPING_WEBARENA_DESCRIPTIVE;E_A110_LOOPING_WORKARENA_DESCRIPTIVE,,true,descriptive heterogeneity only,Benchmark A significantly outperforms Benchmark B,APPROVED_WITH_CAVEAT
DH3,Results; Limitations,Side Effect varies descriptively across the four evaluated benchmark families.,DESCRIPTIVE_ONLY,Side Effect,E_A110_SIDE_EFFECT_ASSISTANTBENCH_DESCRIPTIVE;E_A110_SIDE_EFFECT_VISUALWEBARENA_DESCRIPTIVE;E_A110_SIDE_EFFECT_WEBARENA_DESCRIPTIVE;E_A110_SIDE_EFFECT_WORKARENA_DESCRIPTIVE,,true,descriptive heterogeneity only,Benchmark A significantly outperforms Benchmark B,APPROVED_WITH_CAVEAT
NS1,Limitations,Frozen scores are calibrated probabilities suitable for deployment decisions.,NOT_SUPPORTED,All,NS1,,false,predictive ranking/classification evidence only,calibrated risk or deployment safety,FORBIDDEN
NS2,Limitations,A1.10 establishes pairwise statistical differences between benchmark families.,NOT_SUPPORTED,All,E_A110_SUCCESS_ASSISTANTBENCH_DESCRIPTIVE;E_A110_SUCCESS_WORKARENA_DESCRIPTIVE,,false,descriptive variation only,significantly better or worse benchmark claims,FORBIDDEN
PO1,Limitations or reviewer-response rejection only,The method generalizes to unseen benchmarks.,PROHIBITED_OVERCLAIM,All,E_A110_SUCCESS_HELDOUT;E_A110_LOOPING_HELDOUT,,false,must not be asserted as a supported finding,Our method generalizes to unseen benchmarks.,FORBIDDEN
PO2,Limitations or reviewer-response rejection only,The method generalizes to arbitrary agents.,PROHIBITED_OVERCLAIM,All,E_A14_SUCCESS_B3_MODEL_MACRO_AP;E_A14_LOOPING_B2_MODEL_MACRO_AP,,false,must not be asserted as a supported finding,Our method generalizes to arbitrary agents.,FORBIDDEN
PO3,Limitations or reviewer-response rejection only,The method establishes joint task-and-model OOD robustness.,PROHIBITED_OVERCLAIM,All,E_A14_SUCCESS_B3_MODEL_MACRO_AP;E_A110_SUCCESS_HELDOUT,,false,must not be asserted as a supported finding,Our method establishes joint task-and-model OOD robustness.,FORBIDDEN
PO4,Limitations or reviewer-response rejection only,Structural features causally determine Success or Looping.,PROHIBITED_OVERCLAIM,All,E_A16_P3_SUCCESS_MACRO_AP;E_A16_P6_LOOPING_MACRO_AP,,false,must not be asserted as a supported finding,Structural features causally determine Success or Looping.,FORBIDDEN
PO5,Limitations or reviewer-response rejection only,The system is a universal Agent Judge.,PROHIBITED_OVERCLAIM,All,E_A110_SUCCESS_HELDOUT;E_A110_LOOPING_HELDOUT;E_A110_SIDE_EFFECT_HELDOUT,,false,must not be asserted as a supported finding,The system is a universal Agent Judge.,FORBIDDEN
PO6,Limitations or reviewer-response rejection only,Side Effect is a confirmed held-out detector.,PROHIBITED_OVERCLAIM,All,E_A110_SIDE_EFFECT_HELDOUT;E_A17_Q4_SIDE_EFFECT_MACRO_AP,,false,must not be asserted as a supported finding,Side Effect is a confirmed held-out detector.,FORBIDDEN
PO7,Limitations or reviewer-response rejection only,Simple models universally outperform complex models.,PROHIBITED_OVERCLAIM,All,E_A17_Q2_SUCCESS_MACRO_AP_DELTA;E_A17_Q3_SUCCESS_MACRO_AP_DELTA;E_A17_Q5_LOOPING_MACRO_AP_DELTA,,false,must not be asserted as a supported finding,Simple models universally outperform complex models.,FORBIDDEN
PO8,Limitations or reviewer-response rejection only,Dense semantics are generally unnecessary.,PROHIBITED_OVERCLAIM,All,E_A17_Q1_SUCCESS_MACRO_AP_LIFT;E_A17_Q4_SIDE_EFFECT_MACRO_AP;E_A17_Q5_LOOPING_MACRO_AP_DELTA,,false,must not be asserted as a supported finding,Dense semantics are generally unnecessary.,FORBIDDEN
I1_PROBLEM,Introduction,Motivate evidence beyond terminal outcome and expensive semantic judges.,BOUNDED_MOTIVATION,All,FC1;FC2;LIT_AGENTREWARDBENCH,lu2025agentrewardbench,true,Do not universalize deficiencies.,All existing evaluators are inadequate.,APPROVED_WITH_CAVEAT
I3_QUESTION,Introduction,"How far can lightweight, task-agnostic structural trajectory signals support web-agent evaluation?",RESEARCH_QUESTION,All,FC1;FC2;FE1,,true,No presupposed universal conclusion.,Can structure replace semantic judges?,APPROVED
RW_NOVELTY,Introduction;Related Work,lightweight fixed-dimensional structural signals for outcome-oriented web-agent trajectory evaluation under a frozen blind-held-out protocol,NARROW_POSITIONING,All,RW_NOVELTY;RW_WEBGRAPHEVAL;RW_WEBSTEP;RW_NO_HEAD_TO_HEAD,qian2025webgrapheval;chung2026did,true,Use exact frozen positioning and comparability boundaries.,first structural evaluator; no prior work; SOTA,APPROVED_WITH_CAVEAT
C1,Introduction,Systematic study of lightweight structural trajectory signals.,CONTRIBUTION,All,M4_B2_FEATURES;FC1;FC2;FE1,,true,Use narrow novelty positioning.,first structural evaluator,APPROVED_WITH_CAVEAT
C2,Introduction,Blind-first frozen held-out evidence for Success and Looping.,CONTRIBUTION,Success;Looping,M8_BLIND_HELDOUT;FC1;FC2,,true,Within evaluated benchmark families.,independent external validation,APPROVED_WITH_CAVEAT
C3,Introduction,Environment-qualified efficiency and representation-complexity characterization.,CONTRIBUTION,All,E_A21_EFFICIENCY,,true,Recorded environment; relative comparisons dev-only.,universal efficiency superiority,APPROVED_WITH_CAVEAT
C4,Introduction,"Post-freeze interpretability, confounder, and failure-boundary diagnostics.",CONTRIBUTION,All,E_A22_COEF_SUCCESS;E_A22_METADATA_SUCCESS;E_A22_ERROR_SUCCESS,,true,Associational/descriptive and non-causal.,causal mechanism; confounding eliminated,APPROVED_WITH_CAVEAT
PROTO_BLIND_SCOPE,Methods;Results;Discussion,Blind held-out evidence covers untouched tasks/trajectories within evaluated benchmark families.,PROTOCOL_SCOPE,All,M8_BLIND_HELDOUT;FC1;FC2,,true,Not independent external benchmark validation.,unseen-benchmark generalization,APPROVED_WITH_CAVEAT
PROTO_A2_POSTFREEZE,Methods;Results,A2 diagnostics were conducted after the final method and threshold freeze.,PROTOCOL_INTEGRITY,All,M9_POST_FREEZE_DIAGNOSTICS,,true,Diagnostics did not participate in final selection.,A2 selected or tuned the final method,APPROVED_WITH_CAVEAT
EFF1,Abstract optional;Results;Discussion,B2 has substantially lower measured representation/extraction cost than B4 under the recorded environment.,ENVIRONMENT_SPECIFIC,All,E_A21_EFFICIENCY,,true,Recorded environment and resource domains.,universally faster or cheaper,APPROVED_WITH_CAVEAT
DIAG_METADATA,Results;Discussion,Metadata contains non-trivial dev signal and confounding is not fully ruled out.,POST_FREEZE_DIAGNOSTIC,All,E_A22_METADATA_SUCCESS;E_A22_METADATA_LOOPING,,true,B2 is only descriptively higher.,metadata confounding eliminated,APPROVED_WITH_CAVEAT
DIAG_MORPH_SEM,Results;Discussion;Limitations,Deterministic cases illustrate that trajectory morphology is not task semantics.,POST_FREEZE_DESCRIPTIVE,All,E_A22_ERROR_SUCCESS;E_A22_ERROR_LOOPING,,true,"Illustrations, not prevalence estimates.",semantics are unnecessary,APPROVED_WITH_CAVEAT
RW_WEBGRAPHEVAL,Related Work,WebGraphEval is partially comparable and uses graph aggregation rather than this work's per-trajectory fixed-dimensional representation.,VERIFIED_COMPARISON,All,RW_WEBGRAPHEVAL,qian2025webgrapheval,true,No numeric head-to-head.,directly comparable; outperformed,APPROVED_WITH_CAVEAT
RW_WEBSTEP,Related Work,WebStep is context-only because privileged semantic-state process diagnosis differs in target and protocol.,VERIFIED_COMPARISON,All,RW_WEBSTEP,chung2026did,true,No numeric head-to-head.,same target/protocol; outperformed,APPROVED_WITH_CAVEAT
RW_SIMILAR,Related Work,Similar refers to the resolved canonical PMLR paper identity.,IDENTITY_RESOLUTION,All,RW_SIMILAR_IDENTITY,pmlr-v267-miao25b,true,Use one canonical citation.,Treat Similar as a separate paper.,APPROVED_WITH_CAVEAT
RW_NO_HEAD_TO_HEAD,Related Work;Discussion,No audited work is directly comparable; no valid cross-paper numeric head-to-head exists.,COMPARABILITY_BOUNDARY,All,RW_NO_HEAD_TO_HEAD,,true,Property comparison only.,cross-paper performance leaderboard,APPROVED_WITH_CAVEAT
FORBID_FIRST,Introduction;Related Work,This is the first structural web-agent evaluator.,OVERCLAIM,All,RW_NOVELTY,,false,,first; no prior work; nobody has studied,FORBIDDEN
FORBID_SOTA,Introduction;Results,The method is state of the art.,OVERCLAIM,All,RW_NO_HEAD_TO_HEAD,,false,,SOTA; state of the art,FORBIDDEN
FORBID_LLM_REPLACE,Abstract;Introduction;Discussion,The method outperforms or replaces LLM judges.,OVERCLAIM,All,RW_NO_HEAD_TO_HEAD,,false,,outperforms LLM judges; replaces LLM judges,FORBIDDEN
LIM01,Limitations,External validity is limited to evaluated benchmark families.,LIMITATION,All,LIM_A23_01,,true,Must be retained without weakening.,"Deletion, resolution, or unsupported weakening.",APPROVED
LIM02,Limitations,Agent/model scope is limited; no arbitrary-agent or joint task/model OOD claim is supported.,LIMITATION,All,LIM_A23_02,,true,Must be retained without weakening.,"Deletion, resolution, or unsupported weakening.",APPROVED
LIM03,Limitations,Side Effect remains low-support and exploratory.,LIMITATION,All,LIM_A23_03,,true,Must be retained without weakening.,"Deletion, resolution, or unsupported weakening.",APPROVED
LIM04,Limitations,Label and construct limitations remain.,LIMITATION,All,LIM_A23_04,,true,Must be retained without weakening.,"Deletion, resolution, or unsupported weakening.",APPROVED
LIM05,Limitations,"Ablations and coefficients are predictive associations, not causal mechanisms.",LIMITATION,All,LIM_A23_05,,true,Must be retained without weakening.,"Deletion, resolution, or unsupported weakening.",APPROVED
LIM06,Limitations,Benchmark heterogeneity is descriptive.,LIMITATION,All,LIM_A23_06,,true,Must be retained without weakening.,"Deletion, resolution, or unsupported weakening.",APPROVED
LIM07,Limitations,Relative method comparisons are development-only and partly uncertain.,LIMITATION,All,LIM_A23_07,,true,Must be retained without weakening.,"Deletion, resolution, or unsupported weakening.",APPROVED
LIM08,Limitations,Calibration and deployment evidence are absent.,LIMITATION,All,LIM_A23_08,,true,Must be retained without weakening.,"Deletion, resolution, or unsupported weakening.",APPROVED
LIM09,Limitations,Correlated structural features limit coefficient isolation.,LIMITATION,All,LIM_A23_09,,true,Must be retained without weakening.,"Deletion, resolution, or unsupported weakening.",APPROVED
LIM10,Limitations,Metadata confounding is not fully ruled out.,LIMITATION,All,LIM_A23_10,,true,Must be retained without weakening.,"Deletion, resolution, or unsupported weakening.",APPROVED
LIM11,Limitations,Efficiency timing is environment-specific.,LIMITATION,All,LIM_A23_11,,true,Must be retained without weakening.,"Deletion, resolution, or unsupported weakening.",APPROVED
LIM12,Limitations,Structural morphology is not semantic task understanding.,LIMITATION,All,LIM_A23_12,,true,Must be retained without weakening.,"Deletion, resolution, or unsupported weakening.",APPROVED
LIM13,Limitations,No independent external benchmark validation was conducted.,LIMITATION,All,LIM_A33_13,,true,Must be retained without weakening.,"Deletion, resolution, or unsupported weakening.",APPROVED
LIM14,Limitations,Cross-paper comparison is property-only because protocols do not support a direct head-to-head.,LIMITATION,All,LIM_A33_14,,true,Must be retained without weakening.,"Deletion, resolution, or unsupported weakening.",APPROVED
